Wavelength (nm)	234 FbC1  (SE268) ems
673.60	0.83416
673.80	0.85039
674.00	0.86707
674.20	0.88309
674.40	0.89227
674.60	0.91236
674.80	0.91555
675.00	0.92499
675.20	0.94497
675.40	0.95217
675.60	0.95490
675.80	0.96046
676.00	0.97417
676.20	0.98112
676.40	0.98823
676.60	0.99399
676.80	0.99054
677.00	0.99802
677.20	0.99717
677.40	0.99852
677.60	1.0000
677.80	0.99746
678.00	0.99302
678.20	0.98685
678.40	0.98538
678.60	0.98634
678.80	0.97480
679.00	0.96538
679.20	0.95987
679.40	0.94999
679.60	0.93821
679.80	0.92688
680.00	0.92172
680.20	0.90704
680.40	0.89885
680.60	0.88838
680.80	0.87377
681.00	0.85476
681.20	0.84361
681.40	0.82306
681.60	0.80975
681.80	0.77890
682.00	0.77526
682.20	0.75620
682.40	0.74111
682.60	0.71974
682.80	0.70998
683.00	0.68969
683.20	0.67353
683.40	0.64727
683.60	0.63633
683.80	0.62003
684.00	0.60388
684.20	0.57995
684.40	0.56534
684.60	0.54895
684.80	0.53184
685.00	0.50926
685.20	0.49591
685.40	0.48526
685.60	0.47190
685.80	0.45222
686.00	0.44880
686.20	0.42683
686.40	0.41751
686.60	0.40589
686.80	0.39135
687.00	0.37719
687.20	0.36458
687.40	0.35637
687.60	0.34538
687.80	0.33783
688.00	0.32805
688.20	0.31379
688.40	0.31082
688.60	0.29814
688.80	0.29450
689.00	0.28572
689.20	0.27353
689.40	0.26789
689.60	0.26358
689.80	0.25800
690.00	0.25073
690.20	0.24450
690.40	0.24148
690.60	0.23019
690.80	0.22982
691.00	0.22319
691.20	0.21454
691.40	0.21259
691.60	0.21016
691.80	0.20543
692.00	0.20177
692.20	0.19920
692.40	0.19352
692.60	0.18846
692.80	0.18543
693.00	0.18197
693.20	0.17858
693.40	0.17673
693.60	0.16946
693.80	0.16442
694.00	0.16163
694.20	0.16423
694.40	0.16142
694.60	0.15624
694.80	0.15241
695.00	0.15080
695.20	0.14723
695.40	0.14488
695.60	0.14007
695.80	0.13633
696.00	0.13799
696.20	0.13622
696.40	0.13190
696.60	0.13031
696.80	0.12801
697.00	0.12418
697.20	0.12290
697.40	0.12275
697.60	0.11929
697.80	0.11448
698.00	0.11120
698.20	0.11314
698.40	0.11114
698.60	0.11114
698.80	0.10530
699.00	0.10558
699.20	0.10169
699.40	0.10199
699.60	0.10182
699.80	0.096140
700.00	0.097110
700.20	0.095380
700.40	0.094790
700.60	0.091410
700.80	0.090440
701.00	0.090850
701.20	0.088510
701.40	0.086510
701.60	0.085820
701.80	0.084540
702.00	0.083820
702.20	0.080600
702.40	0.081660
702.60	0.078690
702.80	0.079600
703.00	0.078480
703.20	0.077890
703.40	0.076580
703.60	0.077930
703.80	0.073420
704.00	0.073720
704.20	0.073190
704.40	0.071970
704.60	0.070720
704.80	0.072080
705.00	0.069140
705.20	0.069670
705.40	0.071760
705.60	0.067390
705.80	0.067520
706.00	0.069690
706.20	0.068240
706.40	0.069880
706.60	0.067390
706.80	0.066130
707.00	0.068630
707.20	0.066660
707.40	0.064950
707.60	0.064510
707.80	0.068220
708.00	0.065870
708.20	0.065900
708.40	0.065650
708.60	0.061830
708.80	0.066680
709.00	0.063590
709.20	0.064080
709.40	0.064840
709.60	0.063550
709.80	0.064790
710.00	0.062410
710.20	0.064210
710.40	0.065140
710.60	0.066070
710.80	0.065580
711.00	0.061640
711.20	0.064450
711.40	0.062920
711.60	0.063490
711.80	0.062120
712.00	0.063740
712.20	0.066050
712.40	0.062180
712.60	0.063830
712.80	0.059750
713.00	0.064360
713.20	0.061400
713.40	0.062050
713.60	0.060920
713.80	0.060980
714.00	0.061620
714.20	0.062140
714.40	0.060040
714.60	0.060520
714.80	0.062680
715.00	0.061770
715.20	0.061580
715.40	0.059790
715.60	0.062210
715.80	0.064730
716.00	0.061410
716.20	0.059250
716.40	0.062420
716.60	0.061980
716.80	0.061160
717.00	0.059190
717.20	0.061400
717.40	0.061490
717.60	0.061500
717.80	0.059190
718.00	0.057750
718.20	0.059550
718.40	0.057900
718.60	0.058230
718.80	0.057250
719.00	0.059570
719.20	0.060800
719.40	0.057980
719.60	0.058780
719.80	0.058640
720.00	0.061380
720.20	0.058850
720.40	0.058520
720.60	0.056970
720.80	0.060430
721.00	0.057670
721.20	0.060230
721.40	0.057180
721.60	0.056290
721.80	0.058440
722.00	0.056550
722.20	0.055740
722.40	0.056810
722.60	0.057610
722.80	0.056150
723.00	0.055590
723.20	0.054240
723.40	0.059130
723.60	0.056900
723.80	0.055310
724.00	0.054400
724.20	0.054670
724.40	0.054790
724.60	0.055270
724.80	0.055080
725.00	0.054330
725.20	0.055940
725.40	0.052590
725.60	0.053990
725.80	0.053600
726.00	0.054890
726.20	0.053630
726.40	0.051310
726.60	0.053270
726.80	0.052620
727.00	0.051930
727.20	0.053370
727.40	0.051770
727.60	0.053300
727.80	0.050730
728.00	0.049020
728.20	0.047270
728.40	0.049820
728.60	0.049660
728.80	0.046550
729.00	0.048230
729.20	0.047890
729.40	0.048570
729.60	0.047360
729.80	0.047430
730.00	0.046600
730.20	0.047610
730.40	0.044500
730.60	0.047590
730.80	0.046410
731.00	0.047670
731.20	0.046160
731.40	0.046650
731.60	0.045680
731.80	0.044380
732.00	0.045390
732.20	0.046510
732.40	0.045290
732.60	0.043180
732.80	0.045270
733.00	0.045250
733.20	0.047140
733.40	0.043610
733.60	0.045930
733.80	0.044610
734.00	0.046250
734.20	0.044890
734.40	0.045350
734.60	0.044980
734.80	0.043680
735.00	0.042660
735.20	0.044760
735.40	0.044690
735.60	0.045390
735.80	0.044570
736.00	0.044560
736.20	0.043610
736.40	0.045920
736.60	0.043680
736.80	0.044340
737.00	0.045850
737.20	0.046710
737.40	0.045430
737.60	0.045700
737.80	0.043820
738.00	0.043560
738.20	0.044220
738.40	0.045030
738.60	0.045530
738.80	0.045750
739.00	0.047630
739.20	0.044860
739.40	0.045620
739.60	0.046310
739.80	0.046100
740.00	0.047460
740.20	0.045840
740.40	0.049240
740.60	0.047580
740.80	0.046240
741.00	0.045560
741.20	0.046930
741.40	0.048260
741.60	0.047290
741.80	0.047100
742.00	0.048450
742.20	0.049380
742.40	0.047250
742.60	0.047420
742.80	0.045750
743.00	0.048240
743.20	0.047850
743.40	0.047110
743.60	0.050190
743.80	0.048520
744.00	0.048690
744.20	0.048660
744.40	0.051050
744.60	0.050230
744.80	0.047170
745.00	0.048200
745.20	0.048890
745.40	0.051020
745.60	0.049150
745.80	0.047620
746.00	0.047870
746.20	0.050850
746.40	0.047120
746.60	0.049240
746.80	0.050660
747.00	0.050000
747.20	0.049460
747.40	0.048210
747.60	0.048050
747.80	0.050020
748.00	0.047840
748.20	0.047770
748.40	0.047660
748.60	0.048370
748.80	0.049650
749.00	0.049350
749.20	0.050920
749.40	0.048620
749.60	0.046070
749.80	0.048670
750.00	0.049040
750.20	0.050430
750.40	0.049120
750.60	0.045400
750.80	0.050950
751.00	0.045920
751.20	0.047560
751.40	0.047040
751.60	0.048140
751.80	0.048230
752.00	0.049950
752.20	0.048010
752.40	0.049050
752.60	0.044790
752.80	0.049220
753.00	0.047810
753.20	0.046080
753.40	0.048060
753.60	0.047900
753.80	0.049400
754.00	0.047320
754.20	0.048280
754.40	0.047600
754.60	0.046500
754.80	0.046030
755.00	0.047340
755.20	0.048720
755.40	0.045860
755.60	0.044000
755.80	0.044620
756.00	0.041920
756.20	0.044200
756.40	0.042580
756.60	0.042710
756.80	0.043150
757.00	0.039140
757.20	0.042560
757.40	0.040970
757.60	0.039320
757.80	0.039410
758.00	0.041530
758.20	0.039000
758.40	0.039070
758.60	0.041160
758.80	0.040200
759.00	0.039610
759.20	0.037800
759.40	0.037520
759.60	0.037570
759.80	0.039440
760.00	0.035270
760.20	0.035600
760.40	0.035350
760.60	0.035190
760.80	0.035220
761.00	0.037000
761.20	0.031040
761.40	0.030120
761.60	0.033320
761.80	0.030550
762.00	0.033850
762.20	0.028180
762.40	0.030900
762.60	0.031490
762.80	0.030080
763.00	0.027620
763.20	0.028350
763.40	0.027550
763.60	0.027480
763.80	0.027480
764.00	0.026930
764.20	0.026730
764.40	0.025570
764.60	0.025010
764.80	0.025450
765.00	0.024430
765.20	0.022720
765.40	0.023590
765.60	0.022200
765.80	0.023300
766.00	0.023140
766.20	0.022960
766.40	0.020990
766.60	0.021070
766.80	0.019860
767.00	0.021520
767.20	0.019010
767.40	0.018580
767.60	0.018960
767.80	0.019340
768.00	0.018360
768.20	0.017600
768.40	0.017960
768.60	0.017000
768.80	0.018640
769.00	0.018400
769.20	0.016440
769.40	0.017390
769.60	0.016710
769.80	0.017430
770.00	0.016020
770.20	0.015140
770.40	0.015400
770.60	0.015060
770.80	0.015000
771.00	0.013820
771.20	0.014810
771.40	0.016270
771.60	0.014340
771.80	0.012650
772.00	0.013090
772.20	0.014050
772.40	0.014920
772.60	0.014420
772.80	0.014060
773.00	0.013880
773.20	0.012480
773.40	0.014470
773.60	0.012500
773.80	0.010860
774.00	0.011750
774.20	0.011890
774.40	0.012660
774.60	0.014080
774.80	0.011760
775.00	0.0097100
775.20	0.012250
775.40	0.010970
775.60	0.010330
775.80	0.012550
776.00	0.010820
776.20	0.013250
776.40	0.011610
776.60	0.011900
776.80	0.011090
777.00	0.010070
777.20	0.0097900
777.40	0.012720
777.60	0.011130
777.80	0.011900
778.00	0.010960
778.20	0.010740
778.40	0.0099800
778.60	0.011780
778.80	0.010770
779.00	0.0093500
779.20	0.0098100
779.40	0.010810
779.60	0.010320
779.80	0.011270
780.00	0.010030
780.20	0.010540
780.40	0.010400
780.60	0.010830
780.80	0.010270
781.00	0.0090000
781.20	0.0088200
781.40	0.0099000
781.60	0.0098100
781.80	0.0081700
782.00	0.0086400
782.20	0.0090800
782.40	0.0089400
782.60	0.0082200
782.80	0.0086400
783.00	0.0086800
783.20	0.010210
783.40	0.0092000
783.60	0.0094400
783.80	0.010080
784.00	0.0087200
784.20	0.0095000
784.40	0.0084200
784.60	0.010030
784.80	0.0090100
785.00	0.0097300
785.20	0.0092800
785.40	0.0085400
785.60	0.0089900
785.80	0.0089200
786.00	0.0096100
786.20	0.0094000
786.40	0.0092800
786.60	0.0088500
786.80	0.0089500
787.00	0.0085600
787.20	0.0086800
787.40	0.0095600
787.60	0.010360
787.80	0.0084000
788.00	0.0094400
788.20	0.0088500
788.40	0.0083000
788.60	0.0093200
788.80	0.0095600
789.00	0.0094800
789.20	0.0094200
789.40	0.0095900
789.60	0.0087200
789.80	0.0094300
790.00	0.0088800
790.20	0.0093800
790.40	0.0096600
790.60	0.0082200
790.80	0.0092500
791.00	0.0086200
791.20	0.0089600
791.40	0.0094100
791.60	0.0080200
791.80	0.0093300
792.00	0.0099100
792.20	0.0098000
792.40	0.0099000
792.60	0.0096100
792.80	0.010220
793.00	0.0087100
793.20	0.0093600
793.40	0.0097100
793.60	0.0090300
793.80	0.0089400
794.00	0.010220
794.20	0.010780
794.40	0.0087300
794.60	0.0088300
794.80	0.0099300
795.00	0.0082000
795.20	0.0093700
795.40	0.0095900
795.60	0.0086500
795.80	0.0085600
796.00	0.010160
796.20	0.010660
796.40	0.0090100
796.60	0.0079500
796.80	0.0092400
797.00	0.0087200
797.20	0.0077900
797.40	0.0094400
797.60	0.0087200
797.80	0.0074800
798.00	0.0079400
798.20	0.0086600
798.40	0.0086700
798.60	0.0090300
798.80	0.0074800
799.00	0.0086500
799.20	0.0091300
799.40	0.010100
799.60	0.0072800
799.80	0.0090500
800.00	0.0081500
