Wavelength (nm)	L214 H2C-M10E15 (SE254).abs
373.20	0.18355
373.40	0.18299
373.60	0.18143
373.80	0.18101
374.00	0.17912
374.20	0.17858
374.40	0.17760
374.60	0.17707
374.80	0.17636
375.00	0.17549
375.20	0.17499
375.40	0.17469
375.60	0.17455
375.80	0.17336
376.00	0.17337
376.20	0.17292
376.40	0.17284
376.60	0.17269
376.80	0.17251
377.00	0.17258
377.20	0.17283
377.40	0.17293
377.60	0.17311
377.80	0.17366
378.00	0.17363
378.20	0.17432
378.40	0.17470
378.60	0.17499
378.80	0.17476
379.00	0.17510
379.20	0.17467
379.40	0.17534
379.60	0.17629
379.80	0.17681
380.00	0.17709
380.20	0.17836
380.40	0.17853
380.60	0.17923
380.80	0.18036
381.00	0.18086
381.20	0.18171
381.40	0.18203
381.60	0.18320
381.80	0.18346
382.00	0.18457
382.20	0.18516
382.40	0.18619
382.60	0.18688
382.80	0.18854
383.00	0.18942
383.20	0.18973
383.40	0.19100
383.60	0.19193
383.80	0.19312
384.00	0.19481
384.20	0.19544
384.40	0.19687
384.60	0.19863
384.80	0.20015
385.00	0.20097
385.20	0.20195
385.40	0.20419
385.60	0.20581
385.80	0.20677
386.00	0.20910
386.20	0.21190
386.40	0.21284
386.60	0.21487
386.80	0.21699
387.00	0.21930
387.20	0.22085
387.40	0.22343
387.60	0.22616
387.80	0.22777
388.00	0.23092
388.20	0.23342
388.40	0.23563
388.60	0.23834
388.80	0.24074
389.00	0.24380
389.20	0.24706
389.40	0.24998
389.60	0.25249
389.80	0.25553
390.00	0.25861
390.20	0.26327
390.40	0.26628
390.60	0.26893
390.80	0.27242
391.00	0.27512
391.20	0.27853
391.40	0.28137
391.60	0.28514
391.80	0.28771
392.00	0.29173
392.20	0.29502
392.40	0.29835
392.60	0.30157
392.80	0.30485
393.00	0.30793
393.20	0.31154
393.40	0.31495
393.60	0.31797
393.80	0.32191
394.00	0.32423
394.20	0.32818
394.40	0.33173
394.60	0.33482
394.80	0.33815
395.00	0.34115
395.20	0.34395
395.40	0.34757
395.60	0.35086
395.80	0.35313
396.00	0.35723
396.20	0.36035
396.40	0.36318
396.60	0.36678
396.80	0.36968
397.00	0.37291
397.20	0.37620
397.40	0.37871
397.60	0.38207
397.80	0.38474
398.00	0.38860
398.20	0.39196
398.40	0.39475
398.60	0.39805
398.80	0.40167
399.00	0.40542
399.20	0.40783
399.40	0.41206
399.60	0.41587
399.80	0.41938
400.00	0.42322
400.20	0.42693
400.40	0.43051
400.60	0.43460
400.80	0.43839
401.00	0.44250
401.20	0.44639
401.40	0.45061
401.60	0.45453
401.80	0.45768
402.00	0.46228
402.20	0.46596
402.40	0.46988
402.60	0.47447
402.80	0.47766
403.00	0.48250
403.20	0.48743
403.40	0.49137
403.60	0.49636
403.80	0.50067
404.00	0.50599
404.20	0.51102
404.40	0.51664
404.60	0.52263
404.80	0.52907
405.00	0.53588
405.20	0.54307
405.40	0.55036
405.60	0.55889
405.80	0.56636
406.00	0.57524
406.20	0.58528
406.40	0.59455
406.60	0.60521
406.80	0.61549
407.00	0.62749
407.20	0.63909
407.40	0.65112
407.60	0.66252
407.80	0.67526
408.00	0.68920
408.20	0.70256
408.40	0.71672
408.60	0.73107
408.80	0.74610
409.00	0.76057
409.20	0.77581
409.40	0.79173
409.60	0.80729
409.80	0.82212
410.00	0.83768
410.20	0.85310
410.40	0.86714
410.60	0.88214
410.80	0.89584
411.00	0.90997
411.20	0.92299
411.40	0.93482
411.60	0.94613
411.80	0.95694
412.00	0.96659
412.20	0.97492
412.40	0.98165
412.60	0.98800
412.80	0.99308
413.00	0.99663
413.20	0.99849
413.40	1.00000
413.60	0.99962
413.80	0.99808
414.00	0.99594
414.20	0.99159
414.40	0.98812
414.60	0.98212
414.80	0.97633
415.00	0.96985
415.20	0.96240
415.40	0.95419
415.60	0.94609
415.80	0.93702
416.00	0.92835
416.20	0.91960
416.40	0.90971
416.60	0.90001
416.80	0.89036
417.00	0.88142
417.20	0.87131
417.40	0.86151
417.60	0.85204
417.80	0.84205
418.00	0.83250
418.20	0.82318
418.40	0.81354
418.60	0.80406
418.80	0.79409
419.00	0.78442
419.20	0.77498
419.40	0.76592
419.60	0.75680
419.80	0.74772
420.00	0.73900
420.20	0.73057
420.40	0.72313
420.60	0.71531
420.80	0.70832
421.00	0.70082
421.20	0.69462
421.40	0.68822
421.60	0.68262
421.80	0.67712
422.00	0.67150
422.20	0.66616
422.40	0.66159
422.60	0.65664
422.80	0.65124
423.00	0.64643
423.20	0.64042
423.40	0.63565
423.60	0.62876
423.80	0.62257
424.00	0.61486
424.20	0.60788
424.40	0.59889
424.60	0.58943
424.80	0.57922
425.00	0.56857
425.20	0.55661
425.40	0.54493
425.60	0.53280
425.80	0.51836
426.00	0.50414
426.20	0.49034
426.40	0.47532
426.60	0.45997
426.80	0.44485
427.00	0.42864
427.20	0.41292
427.40	0.39732
427.60	0.38176
427.80	0.36639
428.00	0.35087
428.20	0.33579
428.40	0.32061
428.60	0.30608
428.80	0.29212
429.00	0.27840
429.20	0.26507
429.40	0.25225
429.60	0.23982
429.80	0.22713
430.00	0.21603
430.20	0.20456
430.40	0.19449
430.60	0.18377
430.80	0.17429
431.00	0.16532
431.20	0.15651
431.40	0.14761
431.60	0.14001
431.80	0.13294
432.00	0.12537
432.20	0.11829
432.40	0.11226
432.60	0.10612
432.80	0.10034
433.00	0.094872
433.20	0.089624
433.40	0.085006
433.60	0.079958
433.80	0.076279
434.00	0.072011
434.20	0.068433
434.40	0.065004
434.60	0.061176
434.80	0.058177
435.00	0.055478
435.20	0.052499
435.40	0.050010
435.60	0.048141
435.80	0.046102
436.00	0.043183
436.20	0.041214
436.40	0.039214
436.60	0.037525
436.80	0.035496
437.00	0.033926
437.20	0.032877
437.40	0.031018
437.60	0.030118
437.80	0.029248
438.00	0.027289
438.20	0.026739
438.40	0.025870
438.60	0.024830
438.80	0.024510
439.00	0.023371
439.20	0.022791
439.40	0.021671
439.60	0.021771
439.80	0.020622
440.00	0.019942
440.20	0.019662
440.40	0.018792
440.60	0.018633
440.80	0.018353
441.00	0.017413
441.20	0.016833
441.40	0.017083
441.60	0.016463
441.80	0.016373
442.00	0.015724
442.20	0.016094
442.40	0.015184
442.60	0.015014
442.80	0.014554
443.00	0.015004
443.20	0.014734
443.40	0.014384
443.60	0.014524
443.80	0.014154
444.00	0.013375
444.20	0.013774
444.40	0.013784
444.60	0.013275
444.80	0.012655
445.00	0.012875
445.20	0.012605
445.40	0.012175
445.60	0.013185
445.80	0.012435
446.00	0.012585
446.20	0.012825
446.40	0.012865
446.60	0.012545
446.80	0.012485
447.00	0.012025
447.20	0.012735
447.40	0.012435
447.60	0.012445
447.80	0.012115
448.00	0.012235
448.20	0.012365
448.40	0.012315
448.60	0.012075
448.80	0.011595
449.00	0.012155
449.20	0.012055
449.40	0.011935
449.60	0.011685
449.80	0.011915
450.00	0.011885
450.20	0.012205
450.40	0.012325
450.60	0.012005
450.80	0.011985
451.00	0.011985
451.20	0.012015
451.40	0.012015
451.60	0.012265
451.80	0.011955
452.00	0.012045
452.20	0.012275
452.40	0.012025
452.60	0.012245
452.80	0.011895
453.00	0.012085
453.20	0.012105
453.40	0.012185
453.60	0.012675
453.80	0.012245
454.00	0.012015
454.20	0.012725
454.40	0.012585
454.60	0.012185
454.80	0.012305
455.00	0.011845
455.20	0.012065
455.40	0.012265
455.60	0.012515
455.80	0.012695
456.00	0.012445
456.20	0.012285
456.40	0.012985
456.60	0.012875
456.80	0.012175
457.00	0.013145
457.20	0.012775
457.40	0.012915
457.60	0.012885
457.80	0.012815
458.00	0.013055
458.20	0.012825
458.40	0.013255
458.60	0.013405
458.80	0.013125
459.00	0.012825
459.20	0.013285
459.40	0.013415
459.60	0.013285
459.80	0.013145
460.00	0.013525
460.20	0.013375
460.40	0.013555
460.60	0.013175
460.80	0.013375
461.00	0.013645
461.20	0.013485
461.40	0.013215
461.60	0.012975
461.80	0.013675
462.00	0.013665
462.20	0.013944
462.40	0.014134
462.60	0.013844
462.80	0.013615
463.00	0.013814
463.20	0.013964
463.40	0.013874
463.60	0.013904
463.80	0.013695
464.00	0.014004
464.20	0.014494
464.40	0.014234
464.60	0.014194
464.80	0.014474
465.00	0.014624
465.20	0.015294
465.40	0.014134
465.60	0.014644
465.80	0.014844
466.00	0.015054
466.20	0.014634
466.40	0.015344
466.60	0.014774
466.80	0.014664
467.00	0.015424
467.20	0.015044
467.40	0.015124
467.60	0.015444
467.80	0.015554
468.00	0.015514
468.20	0.015574
468.40	0.015724
468.60	0.015334
468.80	0.015704
469.00	0.016463
469.20	0.016234
469.40	0.015924
469.60	0.016124
469.80	0.016533
470.00	0.016313
470.20	0.016253
470.40	0.016793
470.60	0.016523
470.80	0.016933
471.00	0.016813
471.20	0.016563
471.40	0.016773
471.60	0.017303
471.80	0.017803
472.00	0.016703
472.20	0.017383
472.40	0.017743
472.60	0.017663
472.80	0.018013
473.00	0.017953
473.20	0.017873
473.40	0.018243
473.60	0.018263
473.80	0.018563
474.00	0.018453
474.20	0.018563
474.40	0.018583
474.60	0.018733
474.80	0.018343
475.00	0.019092
475.20	0.019252
475.40	0.019322
475.60	0.019392
475.80	0.019732
476.00	0.019542
476.20	0.020052
476.40	0.020162
476.60	0.020642
476.80	0.019912
477.00	0.020592
477.20	0.021082
477.40	0.020002
477.60	0.020682
477.80	0.021202
478.00	0.021122
478.20	0.021092
478.40	0.021331
478.60	0.021242
478.80	0.021421
479.00	0.021232
479.20	0.021461
479.40	0.021691
479.60	0.021901
479.80	0.022091
480.00	0.022301
480.20	0.022191
480.40	0.023001
480.60	0.022361
480.80	0.022951
481.00	0.023131
481.20	0.023411
481.40	0.023061
481.60	0.023121
481.80	0.023401
482.00	0.023451
482.20	0.023561
482.40	0.023651
482.60	0.024030
482.80	0.023631
483.00	0.024060
483.20	0.024160
483.40	0.024020
483.60	0.024220
483.80	0.024640
484.00	0.024090
484.20	0.024200
484.40	0.024670
484.60	0.024880
484.80	0.024250
485.00	0.024990
485.20	0.024970
485.40	0.024860
485.60	0.024840
485.80	0.024970
486.00	0.025000
486.20	0.025060
486.40	0.025460
486.60	0.025330
486.80	0.025210
487.00	0.025410
487.20	0.024940
487.40	0.025240
487.60	0.025220
487.80	0.025280
488.00	0.026240
488.20	0.025510
488.40	0.026020
488.60	0.025510
488.80	0.025650
489.00	0.025830
489.20	0.025860
489.40	0.025540
489.60	0.025820
489.80	0.025860
490.00	0.026130
490.20	0.026259
490.40	0.026160
490.60	0.026659
490.80	0.026779
491.00	0.026279
491.20	0.026279
491.40	0.026459
491.60	0.026399
491.80	0.026669
492.00	0.026549
492.20	0.026529
492.40	0.026909
492.60	0.026969
492.80	0.026969
493.00	0.027319
493.20	0.027629
493.40	0.027099
493.60	0.027259
493.80	0.027909
494.00	0.027629
494.20	0.028099
494.40	0.028019
494.60	0.027949
494.80	0.027879
495.00	0.028459
495.20	0.028729
495.40	0.027979
495.60	0.028159
495.80	0.028978
496.00	0.028719
496.20	0.028739
496.40	0.029018
496.60	0.029288
496.80	0.029058
497.00	0.029228
497.20	0.029888
497.40	0.029968
497.60	0.029938
497.80	0.029658
498.00	0.030398
498.20	0.030728
498.40	0.030398
498.60	0.031357
498.80	0.030858
499.00	0.031297
499.20	0.032077
499.40	0.031767
499.60	0.031817
499.80	0.032727
500.00	0.033437
500.20	0.032857
500.40	0.033717
500.60	0.034196
500.80	0.034646
501.00	0.034816
501.20	0.035816
501.40	0.036046
501.60	0.036255
501.80	0.037775
502.00	0.037835
502.20	0.037955
502.40	0.038914
502.60	0.038954
502.80	0.039404
503.00	0.039434
503.20	0.040554
503.40	0.040914
503.60	0.040964
503.80	0.041763
504.00	0.041703
504.20	0.041893
504.40	0.042433
504.60	0.043083
504.80	0.043103
505.00	0.043163
505.20	0.043703
505.40	0.043872
505.60	0.043443
505.80	0.044052
506.00	0.044402
506.20	0.044652
506.40	0.044942
506.60	0.045192
506.80	0.044732
507.00	0.045042
507.20	0.045242
507.40	0.045502
507.60	0.045402
507.80	0.045902
508.00	0.046371
508.20	0.046441
508.40	0.046891
508.60	0.047371
508.80	0.047321
509.00	0.047441
509.20	0.047381
509.40	0.047621
509.60	0.047421
509.80	0.048151
510.00	0.048481
510.20	0.048731
510.40	0.048840
510.60	0.048980
510.80	0.049270
511.00	0.049500
511.20	0.050020
511.40	0.049830
511.60	0.049900
511.80	0.050670
512.00	0.050780
512.20	0.050610
512.40	0.050850
512.60	0.051759
512.80	0.051709
513.00	0.051749
513.20	0.052259
513.40	0.052739
513.60	0.052219
513.80	0.052509
514.00	0.052989
514.20	0.052579
514.40	0.053199
514.60	0.053119
514.80	0.052929
515.00	0.052669
515.20	0.053359
515.40	0.052779
515.60	0.052929
515.80	0.052969
516.00	0.053259
516.20	0.052369
516.40	0.052759
516.60	0.052669
516.80	0.052379
517.00	0.052449
517.20	0.051799
517.40	0.051489
517.60	0.051489
517.80	0.051040
518.00	0.051649
518.20	0.050490
518.40	0.050220
518.60	0.050150
518.80	0.049480
519.00	0.049470
519.20	0.048721
519.40	0.048611
519.60	0.048151
519.80	0.047391
520.00	0.047441
520.20	0.046821
520.40	0.046461
520.60	0.046112
520.80	0.045312
521.00	0.045032
521.20	0.044142
521.40	0.044062
521.60	0.043183
521.80	0.042953
522.00	0.042483
522.20	0.041803
522.40	0.041144
522.60	0.041084
522.80	0.040254
523.00	0.039304
523.20	0.039224
523.40	0.038405
523.60	0.038015
523.80	0.037415
524.00	0.037045
524.20	0.036265
524.40	0.035616
524.60	0.035456
524.80	0.034376
525.00	0.033357
525.20	0.033607
525.40	0.033367
525.60	0.032177
525.80	0.031937
526.00	0.031697
526.20	0.030778
526.40	0.030358
526.60	0.029738
526.80	0.028958
527.00	0.028629
527.20	0.028559
527.40	0.028119
527.60	0.027459
527.80	0.027199
528.00	0.027119
528.20	0.026379
528.40	0.025520
528.60	0.026150
528.80	0.025810
529.00	0.024910
529.20	0.025070
529.40	0.024920
529.60	0.024720
529.80	0.024830
530.00	0.024530
530.20	0.024280
530.40	0.024300
530.60	0.025280
530.80	0.025000
531.00	0.024060
531.20	0.024240
531.40	0.024730
531.60	0.024480
531.80	0.025070
532.00	0.025010
532.20	0.025570
532.40	0.025900
532.60	0.025930
532.80	0.026789
533.00	0.026749
533.20	0.027099
533.40	0.027469
533.60	0.027569
533.80	0.028029
534.00	0.028958
534.20	0.028758
534.40	0.028898
534.60	0.030158
534.80	0.030158
535.00	0.030858
535.20	0.031437
535.40	0.031947
535.60	0.032387
535.80	0.032617
536.00	0.033127
536.20	0.033557
536.40	0.034336
536.60	0.035006
536.80	0.035966
537.00	0.035696
537.20	0.037105
537.40	0.037815
537.60	0.038535
537.80	0.039434
538.00	0.040424
538.20	0.041633
538.40	0.041793
538.60	0.043633
538.80	0.044592
539.00	0.045862
539.20	0.047441
539.40	0.049090
539.60	0.050290
539.80	0.052169
540.00	0.053918
540.20	0.055238
540.40	0.057627
540.60	0.060076
540.80	0.061805
541.00	0.064104
541.20	0.065724
541.40	0.068413
541.60	0.070612
541.80	0.072341
542.00	0.074680
542.20	0.076639
542.40	0.078559
542.60	0.081038
542.80	0.082817
543.00	0.084646
543.20	0.086206
543.40	0.087965
543.60	0.089144
543.80	0.090404
544.00	0.092083
544.20	0.093143
544.40	0.094002
544.60	0.094152
544.80	0.095012
545.00	0.095032
545.20	0.095212
545.40	0.095682
545.60	0.094872
545.80	0.094902
546.00	0.094752
546.20	0.094112
546.40	0.093023
546.60	0.093223
546.80	0.092623
547.00	0.091014
547.20	0.090244
547.40	0.089194
547.60	0.088365
547.80	0.087565
548.00	0.086275
548.20	0.085026
548.40	0.083657
548.60	0.082607
548.80	0.081707
549.00	0.080118
549.20	0.079238
549.40	0.077849
549.60	0.076489
549.80	0.075510
550.00	0.074250
550.20	0.073111
550.40	0.071861
550.60	0.070692
550.80	0.070032
551.00	0.068303
551.20	0.067453
551.40	0.066273
551.60	0.065724
551.80	0.064324
552.00	0.062975
552.20	0.061765
552.40	0.060056
552.60	0.060196
552.80	0.058437
553.00	0.057157
553.20	0.056118
553.40	0.055358
553.60	0.054358
553.80	0.053369
554.00	0.052249
554.20	0.051509
554.40	0.050180
554.60	0.049030
554.80	0.048501
555.00	0.047111
555.20	0.046481
555.40	0.045302
555.60	0.044102
555.80	0.043083
556.00	0.041993
556.20	0.041903
556.40	0.040814
556.60	0.039234
556.80	0.038625
557.00	0.037555
557.20	0.036076
557.40	0.035786
557.60	0.034496
557.80	0.034316
558.00	0.033107
558.20	0.032357
558.40	0.031697
558.60	0.030558
558.80	0.030318
559.00	0.029558
559.20	0.028489
559.40	0.027599
559.60	0.026929
559.80	0.026419
560.00	0.025800
560.20	0.024830
560.40	0.024010
560.60	0.023691
560.80	0.023001
561.00	0.023341
561.20	0.021901
561.40	0.021491
561.60	0.020572
561.80	0.020262
562.00	0.020262
562.20	0.019092
562.40	0.018673
562.60	0.018213
562.80	0.018203
563.00	0.017303
563.20	0.016663
563.40	0.016383
563.60	0.016373
563.80	0.015624
564.00	0.015024
564.20	0.014894
564.40	0.014424
564.60	0.013794
564.80	0.013944
565.00	0.013425
565.20	0.013445
565.40	0.012975
565.60	0.012265
565.80	0.011875
566.00	0.012025
566.20	0.012135
566.40	0.011555
566.60	0.011126
566.80	0.011695
567.00	0.011166
567.20	0.010666
567.40	0.010996
567.60	0.010276
567.80	0.0099860
568.00	0.0098960
568.20	0.0092963
568.40	0.0098361
568.60	0.0096361
568.80	0.0099960
569.00	0.0092763
569.20	0.0091663
569.40	0.0091863
569.60	0.0092963
569.80	0.0089664
570.00	0.0088265
570.20	0.0088964
570.40	0.0086066
570.60	0.0080668
570.80	0.0087865
571.00	0.0082267
571.20	0.0082367
571.40	0.0080168
571.60	0.0078669
571.80	0.0082667
572.00	0.0080768
572.20	0.0076769
572.40	0.0074670
572.60	0.0075070
572.80	0.0075870
573.00	0.0071471
573.20	0.0074970
573.40	0.0079668
573.60	0.0074270
573.80	0.0077569
574.00	0.0076569
574.20	0.0075470
574.40	0.0069272
574.60	0.0072171
574.80	0.0077069
575.00	0.0069772
575.20	0.0073970
575.40	0.0075070
575.60	0.0071072
575.80	0.0069372
576.00	0.0068772
576.20	0.0065974
576.40	0.0070072
576.60	0.0066773
576.80	0.0070472
577.00	0.0070272
577.20	0.0064574
577.40	0.0069972
577.60	0.0069972
577.80	0.0069572
578.00	0.0072171
578.20	0.0071271
578.40	0.0064774
578.60	0.0068772
578.80	0.0071571
579.00	0.0072371
579.20	0.0068673
579.40	0.0075870
579.60	0.0074770
579.80	0.0077569
580.00	0.0076369
580.20	0.0079668
580.40	0.0074970
580.60	0.0080368
580.80	0.0079268
581.00	0.0080768
581.20	0.0086665
581.40	0.0081767
581.60	0.0086066
581.80	0.0081567
582.00	0.0091164
582.20	0.0093463
582.40	0.0089964
582.60	0.0093862
582.80	0.0098661
583.00	0.0097261
583.20	0.0092763
583.40	0.0099460
583.60	0.010056
583.80	0.010326
584.00	0.010316
584.20	0.010116
584.40	0.0099160
584.60	0.010386
584.80	0.010416
585.00	0.010686
585.20	0.010916
585.40	0.010876
585.60	0.011335
585.80	0.011086
586.00	0.010816
586.20	0.012065
586.40	0.011495
586.60	0.011485
586.80	0.011865
587.00	0.012365
587.20	0.012275
587.40	0.012315
587.60	0.012055
587.80	0.012225
588.00	0.013025
588.20	0.012335
588.40	0.012545
588.60	0.012925
588.80	0.013395
589.00	0.013545
589.20	0.013415
589.40	0.013904
589.60	0.014054
589.80	0.014534
590.00	0.014674
590.20	0.014874
590.40	0.014964
590.60	0.015684
590.80	0.015994
591.00	0.015854
591.20	0.015934
591.40	0.016523
591.60	0.017373
591.80	0.017543
592.00	0.018023
592.20	0.019082
592.40	0.018623
592.60	0.018982
592.80	0.019512
593.00	0.019322
593.20	0.020122
593.40	0.021251
593.60	0.021621
593.80	0.021232
594.00	0.021471
594.20	0.021991
594.40	0.021761
594.60	0.022511
594.80	0.023021
595.00	0.023091
595.20	0.022771
595.40	0.023721
595.60	0.023870
595.80	0.023970
596.00	0.024700
596.20	0.024220
596.40	0.024620
596.60	0.024930
596.80	0.025260
597.00	0.025190
597.20	0.025630
597.40	0.025820
597.60	0.025800
597.80	0.026120
598.00	0.026479
598.20	0.026899
598.40	0.027059
598.60	0.026969
598.80	0.027669
599.00	0.027459
599.20	0.027759
599.40	0.028129
599.60	0.029108
599.80	0.028479
600.00	0.029418
600.20	0.029328
600.40	0.029318
600.60	0.029688
600.80	0.029878
601.00	0.030418
601.20	0.030098
601.40	0.030738
601.60	0.031008
601.80	0.030578
602.00	0.030748
602.20	0.030808
602.40	0.030718
602.60	0.030998
602.80	0.030858
603.00	0.030788
603.20	0.030518
603.40	0.030048
603.60	0.030628
603.80	0.030018
604.00	0.029848
604.20	0.029648
604.40	0.029198
604.60	0.029198
604.80	0.029048
605.00	0.028199
605.20	0.028289
605.40	0.027819
605.60	0.028209
605.80	0.027189
606.00	0.027239
606.20	0.026569
606.40	0.025570
606.60	0.025440
606.80	0.025150
607.00	0.024680
607.20	0.024180
607.40	0.024050
607.60	0.023401
607.80	0.022891
608.00	0.022471
608.20	0.022221
608.40	0.021891
608.60	0.021152
608.80	0.020842
609.00	0.020372
609.20	0.019682
609.40	0.019302
609.60	0.019302
609.80	0.018173
610.00	0.018852
610.20	0.017953
610.40	0.017733
610.60	0.016843
610.80	0.017293
611.00	0.016393
611.20	0.015794
611.40	0.016104
611.60	0.015614
611.80	0.015404
612.00	0.015014
612.20	0.014754
612.40	0.014274
612.60	0.014434
612.80	0.014294
613.00	0.014464
613.20	0.013545
613.40	0.013195
613.60	0.013585
613.80	0.013235
614.00	0.013205
614.20	0.013155
614.40	0.012675
614.60	0.012365
614.80	0.012485
615.00	0.012545
615.20	0.012035
615.40	0.012705
615.60	0.012405
615.80	0.011935
616.00	0.012015
616.20	0.012375
616.40	0.011565
616.60	0.011555
616.80	0.011315
617.00	0.011705
617.20	0.011046
617.40	0.011056
617.60	0.011395
617.80	0.011056
618.00	0.011156
618.20	0.010786
618.40	0.010626
618.60	0.010586
618.80	0.011066
619.00	0.010706
619.20	0.010626
619.40	0.010736
619.60	0.010376
619.80	0.010386
620.00	0.010146
620.20	0.0099560
620.40	0.0098860
620.60	0.0099460
620.80	0.010416
621.00	0.010396
621.20	0.0094962
621.40	0.0099960
621.60	0.0099460
621.80	0.0095662
622.00	0.0095762
622.20	0.010026
622.40	0.0096361
622.60	0.0095462
622.80	0.0096262
623.00	0.0098261
623.20	0.0096761
623.40	0.0094962
623.60	0.0099160
623.80	0.0096661
624.00	0.0095662
624.20	0.010126
624.40	0.0094062
624.60	0.0091663
624.80	0.0095362
625.00	0.0096661
625.20	0.0091064
625.40	0.010006
625.60	0.0092363
625.80	0.0087965
626.00	0.0094762
626.20	0.0093563
626.40	0.0094262
626.60	0.0089064
626.80	0.0092963
627.00	0.0095662
627.20	0.0092663
627.40	0.0094962
627.60	0.0093763
627.80	0.0096461
628.00	0.0088864
628.20	0.0097661
628.40	0.0090464
628.60	0.0090064
628.80	0.0095862
629.00	0.0095462
629.20	0.0087565
629.40	0.0091863
629.60	0.0086265
629.80	0.0092463
630.00	0.0084866
630.20	0.0092363
630.40	0.0089464
630.60	0.0088864
630.80	0.0091863
631.00	0.0099960
631.20	0.0093263
631.40	0.0093862
631.60	0.0094562
631.80	0.0093663
632.00	0.0093663
632.20	0.010276
632.40	0.0097361
632.60	0.0096861
632.80	0.0097061
633.00	0.010516
633.20	0.010246
633.40	0.0098561
633.60	0.011136
633.80	0.011365
634.00	0.011325
634.20	0.011535
634.40	0.011985
634.60	0.011815
634.80	0.012505
635.00	0.013145
635.20	0.013225
635.40	0.013745
635.60	0.014674
635.80	0.014444
636.00	0.014934
636.20	0.016323
636.40	0.016603
636.60	0.017133
636.80	0.017713
637.00	0.018782
637.20	0.019052
637.40	0.019552
637.60	0.020712
637.80	0.021012
638.00	0.021981
638.20	0.023221
638.40	0.024170
638.60	0.024690
638.80	0.025980
639.00	0.026869
639.20	0.027189
639.40	0.028419
639.60	0.029378
639.80	0.030068
640.00	0.030448
640.20	0.032307
640.40	0.032927
640.60	0.033557
640.80	0.034736
641.00	0.035786
641.20	0.036106
641.40	0.037015
641.60	0.037945
641.80	0.038565
642.00	0.038904
642.20	0.039744
642.40	0.040654
642.60	0.040954
642.80	0.041483
643.00	0.042793
643.20	0.042503
643.40	0.043203
643.60	0.044372
643.80	0.044782
644.00	0.045032
644.20	0.046072
644.40	0.046951
644.60	0.046901
644.80	0.048760
645.00	0.049500
645.20	0.050260
645.40	0.051619
645.60	0.053129
645.80	0.053808
646.00	0.055678
646.20	0.057537
646.40	0.059796
646.60	0.061136
646.80	0.063994
647.00	0.066134
647.20	0.069162
647.40	0.072101
647.60	0.076000
647.80	0.078808
648.00	0.082987
648.20	0.087135
648.40	0.091863
648.60	0.096431
648.80	0.10138
649.00	0.10664
649.20	0.11194
649.40	0.11718
649.60	0.12390
649.80	0.13011
650.00	0.13658
650.20	0.14351
650.40	0.15052
650.60	0.15771
650.80	0.16528
651.00	0.17275
651.20	0.17985
651.40	0.18700
651.60	0.19444
651.80	0.20186
652.00	0.20803
652.20	0.21537
652.40	0.22227
652.60	0.22733
652.80	0.23349
653.00	0.23923
653.20	0.24365
653.40	0.24720
653.60	0.25248
653.80	0.25487
654.00	0.25770
654.20	0.25977
654.40	0.26146
654.60	0.26203
654.80	0.26221
655.00	0.26269
655.20	0.26086
655.40	0.25876
655.60	0.25737
655.80	0.25421
656.00	0.25029
656.20	0.24672
656.40	0.24255
