Wavelength (nm)	L214 H2C-M10E15 (SE254).ems
628.20	0.0020900
628.40	0.0024400
628.60	0.0024200
628.80	0.0026500
629.00	0.0025900
629.20	0.0025400
629.40	0.0027100
629.60	0.0026900
629.80	0.0025100
630.00	0.0028100
630.20	0.0034000
630.40	0.0033200
630.60	0.0035100
630.80	0.0033000
631.00	0.0031800
631.20	0.0034300
631.40	0.0035000
631.60	0.0035100
631.80	0.0034200
632.00	0.0038000
632.20	0.0041200
632.40	0.0037900
632.60	0.0043400
632.80	0.0044600
633.00	0.0048000
633.20	0.0049600
633.40	0.0047400
633.60	0.0054400
633.80	0.0054500
634.00	0.0055500
634.20	0.0060200
634.40	0.0059900
634.60	0.0067100
634.80	0.0072200
635.00	0.0071400
635.20	0.0077600
635.40	0.0086000
635.60	0.0087400
635.80	0.0097900
636.00	0.0098500
636.20	0.010410
636.40	0.010950
636.60	0.011560
636.80	0.012360
637.00	0.012420
637.20	0.014850
637.40	0.014440
637.60	0.015220
637.80	0.016290
638.00	0.018390
638.20	0.019360
638.40	0.019470
638.60	0.021910
638.80	0.021710
639.00	0.023470
639.20	0.024700
639.40	0.025090
639.60	0.027330
639.80	0.027040
640.00	0.030020
640.20	0.031530
640.40	0.032660
640.60	0.034020
640.80	0.036380
641.00	0.037680
641.20	0.039070
641.40	0.040960
641.60	0.041560
641.80	0.045320
642.00	0.046280
642.20	0.048220
642.40	0.048920
642.60	0.050960
642.80	0.053680
643.00	0.056040
643.20	0.058300
643.40	0.059620
643.60	0.061680
643.80	0.065330
644.00	0.068030
644.20	0.069510
644.40	0.073900
644.60	0.075490
644.80	0.078620
645.00	0.083240
645.20	0.086580
645.40	0.090320
645.60	0.096130
645.80	0.099910
646.00	0.10374
646.20	0.11148
646.40	0.11665
646.60	0.12639
646.80	0.13270
647.00	0.14158
647.20	0.14804
647.40	0.15986
647.60	0.16878
647.80	0.17921
648.00	0.19430
648.20	0.20591
648.40	0.21849
648.60	0.23558
648.80	0.24910
649.00	0.26466
649.20	0.28527
649.40	0.30553
649.60	0.32721
649.80	0.34563
650.00	0.36528
650.20	0.38710
650.40	0.41174
650.60	0.43282
650.80	0.45716
651.00	0.48246
651.20	0.51213
651.40	0.53641
651.60	0.55958
651.80	0.58911
652.00	0.61411
652.20	0.63834
652.40	0.66709
652.60	0.69003
652.80	0.71420
653.00	0.73558
653.20	0.76359
653.40	0.78481
653.60	0.80420
653.80	0.83141
654.00	0.85098
654.20	0.87081
654.40	0.88971
654.60	0.91257
654.80	0.91754
655.00	0.93551
655.20	0.94394
655.40	0.95687
655.60	0.96632
655.80	0.97514
656.00	0.98303
656.20	0.99650
656.40	0.99095
656.60	0.99740
656.80	0.99807
657.00	1.0000
657.20	0.99996
657.40	0.98383
657.60	0.98922
657.80	0.97868
658.00	0.97065
658.20	0.95659
658.40	0.95617
658.60	0.94121
658.80	0.92829
659.00	0.91273
659.20	0.89926
659.40	0.87582
659.60	0.86672
659.80	0.84842
660.00	0.83081
660.20	0.81655
660.40	0.79590
660.60	0.77685
660.80	0.75978
661.00	0.73942
661.20	0.71554
661.40	0.69969
661.60	0.67976
661.80	0.65983
662.00	0.63813
662.20	0.61270
662.40	0.60009
662.60	0.58037
662.80	0.55991
663.00	0.54700
663.20	0.52404
663.40	0.51471
663.60	0.49898
663.80	0.48330
664.00	0.46504
664.20	0.45014
664.40	0.43979
664.60	0.42220
664.80	0.40773
665.00	0.39685
665.20	0.38475
665.40	0.37264
665.60	0.36394
665.80	0.34995
666.00	0.33863
666.20	0.33220
666.40	0.32196
666.60	0.31422
666.80	0.30610
667.00	0.29894
667.20	0.28777
667.40	0.28271
667.60	0.27597
667.80	0.26987
668.00	0.26182
668.20	0.25582
668.40	0.25030
668.60	0.24391
668.80	0.23742
669.00	0.23246
669.20	0.22983
669.40	0.22153
669.60	0.21947
669.80	0.21123
670.00	0.20801
670.20	0.20574
670.40	0.19896
670.60	0.19513
670.80	0.19050
671.00	0.18699
671.20	0.18280
671.40	0.17913
671.60	0.17265
671.80	0.16960
672.00	0.16397
672.20	0.16065
672.40	0.15850
672.60	0.15284
672.80	0.15135
673.00	0.14535
673.20	0.14176
673.40	0.13861
673.60	0.13524
673.80	0.12954
674.00	0.12681
674.20	0.12227
674.40	0.11948
674.60	0.11822
674.80	0.11476
675.00	0.11192
675.20	0.10635
675.40	0.10624
675.60	0.10174
675.80	0.099960
676.00	0.094810
676.20	0.090990
676.40	0.091670
676.60	0.086900
676.80	0.086960
677.00	0.082850
677.20	0.081490
677.40	0.079370
677.60	0.077520
677.80	0.075570
678.00	0.071850
678.20	0.070320
678.40	0.069870
678.60	0.070200
678.80	0.066110
679.00	0.064940
679.20	0.063580
679.40	0.062920
679.60	0.061450
679.80	0.059460
680.00	0.058390
680.20	0.058350
680.40	0.058350
680.60	0.055970
680.80	0.056380
681.00	0.054470
681.20	0.054840
681.40	0.053500
681.60	0.052750
681.80	0.052160
682.00	0.052690
682.20	0.052050
682.40	0.052480
682.60	0.051590
682.80	0.050890
683.00	0.051850
683.20	0.052320
683.40	0.049690
683.60	0.051160
683.80	0.050810
684.00	0.052360
684.20	0.052520
684.40	0.052020
684.60	0.051470
684.80	0.050620
685.00	0.053680
685.20	0.051340
685.40	0.052170
685.60	0.052570
685.80	0.051850
686.00	0.052970
686.20	0.053070
686.40	0.054420
686.60	0.053640
686.80	0.053600
687.00	0.053740
687.20	0.053180
687.40	0.055090
687.60	0.053990
687.80	0.054550
688.00	0.055500
688.20	0.054630
688.40	0.055170
688.60	0.054110
688.80	0.054200
689.00	0.055950
689.20	0.054300
689.40	0.054420
689.60	0.053980
689.80	0.054450
690.00	0.052630
690.20	0.054730
690.40	0.054460
690.60	0.054380
690.80	0.055220
691.00	0.056800
691.20	0.054760
691.40	0.053670
691.60	0.053430
691.80	0.053460
692.00	0.051090
692.20	0.053110
692.40	0.054200
692.60	0.053530
692.80	0.053120
693.00	0.053960
693.20	0.052650
693.40	0.052480
693.60	0.052640
693.80	0.053350
694.00	0.052540
694.20	0.050690
694.40	0.054330
694.60	0.053130
694.80	0.055240
695.00	0.053380
695.20	0.054740
695.40	0.053680
695.60	0.055100
695.80	0.056230
696.00	0.056490
696.20	0.056840
696.40	0.056120
696.60	0.057440
696.80	0.057140
697.00	0.058270
697.20	0.058080
697.40	0.058460
697.60	0.060160
697.80	0.061840
698.00	0.063520
698.20	0.063430
698.40	0.061630
698.60	0.062130
698.80	0.062700
699.00	0.061020
699.20	0.061940
699.40	0.063470
699.60	0.063250
699.80	0.065820
700.00	0.062200
700.20	0.066490
700.40	0.066140
700.60	0.065410
700.80	0.068190
701.00	0.066020
701.20	0.064380
701.40	0.064950
701.60	0.064860
701.80	0.064610
702.00	0.065130
702.20	0.064060
702.40	0.066960
702.60	0.065480
702.80	0.063010
703.00	0.065090
703.20	0.064660
703.40	0.062320
703.60	0.062740
703.80	0.062380
704.00	0.062930
704.20	0.063810
704.40	0.060190
704.60	0.060650
704.80	0.062020
705.00	0.060760
705.20	0.059580
705.40	0.059970
705.60	0.058770
705.80	0.058790
706.00	0.059150
706.20	0.059550
706.40	0.057850
706.60	0.057050
706.80	0.058290
707.00	0.058440
707.20	0.058690
707.40	0.058080
707.60	0.058940
707.80	0.057940
708.00	0.056130
708.20	0.058150
708.40	0.057090
708.60	0.057800
708.80	0.056510
709.00	0.055960
709.20	0.057860
709.40	0.056230
709.60	0.056500
709.80	0.057800
710.00	0.056250
710.20	0.058690
710.40	0.056890
710.60	0.056510
710.80	0.056460
711.00	0.058600
711.20	0.058780
711.40	0.057370
711.60	0.058570
711.80	0.061300
712.00	0.057300
712.20	0.056970
712.40	0.060270
712.60	0.060260
712.80	0.059230
713.00	0.060770
713.20	0.060100
713.40	0.060370
713.60	0.060810
713.80	0.060560
714.00	0.063240
714.20	0.063300
714.40	0.067070
714.60	0.061720
714.80	0.062240
715.00	0.063280
715.20	0.064520
715.40	0.063990
715.60	0.064910
715.80	0.066270
716.00	0.063510
716.20	0.067480
716.40	0.067350
716.60	0.068100
716.80	0.065930
717.00	0.067580
717.20	0.068360
717.40	0.067150
717.60	0.067760
717.80	0.067600
718.00	0.068570
718.20	0.069260
718.40	0.067580
718.60	0.070110
718.80	0.068720
719.00	0.069000
719.20	0.072270
719.40	0.068900
719.60	0.069870
719.80	0.071490
720.00	0.068960
720.20	0.073370
720.40	0.073320
720.60	0.069340
720.80	0.071880
721.00	0.070630
721.20	0.071990
721.40	0.071230
721.60	0.071710
721.80	0.070050
722.00	0.073900
722.20	0.072080
722.40	0.071420
722.60	0.073260
722.80	0.068440
723.00	0.071020
723.20	0.071740
723.40	0.071810
723.60	0.069370
723.80	0.069130
724.00	0.072210
724.20	0.073490
724.40	0.069660
724.60	0.070910
724.80	0.069900
725.00	0.070360
725.20	0.070940
725.40	0.071330
725.60	0.068120
725.80	0.069070
726.00	0.070290
726.20	0.070480
726.40	0.069190
726.60	0.069680
726.80	0.072750
727.00	0.067950
727.20	0.071530
727.40	0.069050
727.60	0.069510
727.80	0.072430
728.00	0.068570
728.20	0.071990
728.40	0.067130
728.60	0.070800
728.80	0.065910
729.00	0.066470
729.20	0.068300
729.40	0.067170
729.60	0.068350
729.80	0.064760
730.00	0.065870
730.20	0.068980
730.40	0.065010
730.60	0.065500
730.80	0.063550
731.00	0.064650
731.20	0.064030
731.40	0.063720
731.60	0.064570
731.80	0.060830
732.00	0.061430
732.20	0.061860
732.40	0.058420
732.60	0.061270
732.80	0.058350
733.00	0.058580
733.20	0.057720
733.40	0.056130
733.60	0.057720
733.80	0.055730
734.00	0.052670
734.20	0.054760
734.40	0.052770
734.60	0.051260
734.80	0.051260
735.00	0.050020
735.20	0.050270
735.40	0.047670
735.60	0.047730
735.80	0.046290
736.00	0.044990
736.20	0.045200
736.40	0.042120
736.60	0.042450
736.80	0.040720
737.00	0.040670
737.20	0.040430
737.40	0.038870
737.60	0.040140
737.80	0.039050
738.00	0.035920
738.20	0.035370
738.40	0.037660
738.60	0.034290
738.80	0.033120
739.00	0.033850
739.20	0.031900
739.40	0.031290
739.60	0.030570
739.80	0.031140
740.00	0.028560
740.20	0.028450
740.40	0.027340
740.60	0.028400
740.80	0.025200
741.00	0.027330
741.20	0.023240
741.40	0.025480
741.60	0.025010
741.80	0.023820
742.00	0.023060
742.20	0.022050
742.40	0.022620
742.60	0.020380
742.80	0.020010
743.00	0.022300
743.20	0.021070
743.40	0.020560
743.60	0.018870
743.80	0.018800
744.00	0.020610
744.20	0.017970
744.40	0.018810
744.60	0.017380
744.80	0.017880
745.00	0.017800
745.20	0.017980
745.40	0.017580
745.60	0.016050
745.80	0.016900
746.00	0.017770
746.20	0.017140
746.40	0.016740
746.60	0.015970
746.80	0.015750
747.00	0.014560
747.20	0.015100
747.40	0.013870
747.60	0.014570
747.80	0.015050
748.00	0.014800
748.20	0.014490
748.40	0.013460
748.60	0.013800
748.80	0.013640
749.00	0.013940
749.20	0.012880
749.40	0.014380
749.60	0.013740
749.80	0.014180
750.00	0.012070
750.20	0.012990
750.40	0.013320
750.60	0.012000
750.80	0.013460
751.00	0.013220
751.20	0.011400
751.40	0.012270
751.60	0.011190
751.80	0.012320
752.00	0.012550
752.20	0.012660
752.40	0.011020
752.60	0.012120
752.80	0.011830
753.00	0.012700
753.20	0.011120
753.40	0.010710
753.60	0.010840
753.80	0.011040
754.00	0.010440
754.20	0.011200
754.40	0.010140
754.60	0.010090
754.80	0.011140
755.00	0.011670
755.20	0.011350
755.40	0.0090700
755.60	0.011440
755.80	0.010550
756.00	0.010540
756.20	0.010970
756.40	0.011410
756.60	0.011180
756.80	0.010900
757.00	0.0096600
757.20	0.0086900
757.40	0.0099100
757.60	0.0091200
757.80	0.010480
758.00	0.010210
758.20	0.010510
758.40	0.0094400
758.60	0.0094000
758.80	0.0089200
759.00	0.0098500
759.20	0.010510
759.40	0.0097200
759.60	0.010350
759.80	0.0099400
760.00	0.0093600
760.20	0.0091100
760.40	0.0088600
760.60	0.0094100
760.80	0.0098200
761.00	0.0093800
761.20	0.010150
761.40	0.0073700
761.60	0.0091900
761.80	0.0091300
762.00	0.0090900
762.20	0.0091700
762.40	0.0085700
762.60	0.0081800
762.80	0.0086000
763.00	0.0083200
763.20	0.0083000
763.40	0.0089400
763.60	0.0078600
763.80	0.0083600
764.00	0.0086000
764.20	0.0093200
764.40	0.0080900
764.60	0.0086800
764.80	0.0081200
765.00	0.0080600
765.20	0.0079100
765.40	0.0083500
765.60	0.0081700
765.80	0.0084000
766.00	0.0075800
766.20	0.0083200
766.40	0.0074000
766.60	0.0067600
766.80	0.0082800
767.00	0.0069700
767.20	0.0070100
767.40	0.0078300
767.60	0.0077000
767.80	0.0074400
768.00	0.0070600
768.20	0.0074800
768.40	0.0068800
768.60	0.0065900
768.80	0.0072100
769.00	0.0066600
769.20	0.0075400
769.40	0.0060400
769.60	0.0070600
769.80	0.0067800
770.00	0.0062600
770.20	0.0064900
770.40	0.0055500
770.60	0.0061300
770.80	0.0066800
771.00	0.0070400
771.20	0.0054200
771.40	0.0069200
771.60	0.0063400
771.80	0.0073300
772.00	0.0066400
772.20	0.0054100
772.40	0.0066800
772.60	0.0063400
772.80	0.0056800
773.00	0.0074900
773.20	0.0055100
773.40	0.0068400
773.60	0.0061300
773.80	0.0048800
774.00	0.0053600
774.20	0.0053000
774.40	0.0047200
774.60	0.0059100
774.80	0.0058600
775.00	0.0056100
775.20	0.0050200
775.40	0.0055000
775.60	0.0061900
775.80	0.0055200
776.00	0.0053800
776.20	0.0055200
776.40	0.0055800
776.60	0.0042600
776.80	0.0056500
777.00	0.0046000
777.20	0.0049000
777.40	0.0053700
777.60	0.0045300
777.80	0.0042100
778.00	0.0046900
778.20	0.0040000
778.40	0.0042300
778.60	0.0046400
778.80	0.0038000
779.00	0.0050200
779.20	0.0047000
779.40	0.0052400
779.60	0.0059000
779.80	0.0050400
780.00	0.0045800
780.20	0.0042100
780.40	0.0045200
780.60	0.0049200
780.80	0.0043600
781.00	0.0040700
781.20	0.0037200
781.40	0.0049100
781.60	0.0051600
781.80	0.0039800
782.00	0.0045700
782.20	0.0050100
782.40	0.0051100
782.60	0.0042500
782.80	0.0037600
783.00	0.0040700
783.20	0.0040200
783.40	0.0042700
783.60	0.0040500
783.80	0.0036400
784.00	0.0045200
784.20	0.0040500
784.40	0.0047900
784.60	0.0046600
784.80	0.0048000
785.00	0.0038400
785.20	0.0032700
785.40	0.0043200
785.60	0.0037400
785.80	0.0033000
786.00	0.0041600
786.20	0.0038600
786.40	0.0042300
786.60	0.0045500
786.80	0.0046400
787.00	0.0038600
787.20	0.0025900
787.40	0.0044200
787.60	0.0039200
787.80	0.0032700
788.00	0.0031800
788.20	0.0034200
788.40	0.0034000
788.60	0.0033100
788.80	0.0032500
789.00	0.0032100
789.20	0.0034000
789.40	0.0033200
789.60	0.0030500
789.80	0.0045500
790.00	0.0036900
790.20	0.0034000
790.40	0.0031600
790.60	0.0032700
790.80	0.0031300
791.00	0.0037400
791.20	0.0031400
791.40	0.0030800
791.60	0.0032100
791.80	0.0027500
792.00	0.0035600
792.20	0.0034400
792.40	0.0041500
792.60	0.0033800
792.80	0.0027800
793.00	0.0034700
793.20	0.0038800
793.40	0.0037800
793.60	0.0037400
793.80	0.0031000
794.00	0.0035500
794.20	0.0025700
794.40	0.0031000
794.60	0.0024300
794.80	0.0026600
795.00	0.0023700
795.20	0.0037900
795.40	0.0027100
795.60	0.0030800
795.80	0.0037000
796.00	0.0039900
796.20	0.0033500
796.40	0.0026100
796.60	0.0022900
796.80	0.0032400
797.00	0.0038200
797.20	0.0033200
797.40	0.0032700
797.60	0.0022300
797.80	0.0034400
798.00	0.0030700
798.20	0.0038000
798.40	0.0025800
798.60	0.0034800
798.80	0.0020200
799.00	0.0031500
799.20	0.0027600
799.40	0.0021500
799.60	0.0028700
799.80	0.0017600
800.00	0.0022900
