Wavelength (nm)	311 ZnC-P20 (SE414)
440.00	0.0031803
441.00	0.0030190
442.00	0.0029525
443.00	0.0030477
444.00	0.0030915
445.00	0.0030901
446.00	0.0032232
447.00	0.0029374
448.00	0.0031626
449.00	0.0031457
450.00	0.0031530
451.00	0.0031863
452.00	0.0032455
453.00	0.0033553
454.00	0.0036092
455.00	0.0035044
456.00	0.0034934
457.00	0.0036858
458.00	0.0038918
459.00	0.0041037
460.00	0.0043771
461.00	0.0044851
462.00	0.0045781
463.00	0.0052945
464.00	0.0049304
465.00	0.0052777
466.00	0.0052025
467.00	0.0055192
468.00	0.0058104
469.00	0.0057238
470.00	0.0063473
471.00	0.0064074
472.00	0.0063441
473.00	0.0060319
474.00	0.0055320
475.00	0.0058961
476.00	0.0062502
477.00	0.0065073
478.00	0.0062753
479.00	0.0062926
480.00	0.0065934
481.00	0.0069493
482.00	0.0071512
483.00	0.0071808
484.00	0.0078248
485.00	0.0083471
486.00	0.0086524
487.00	0.0093761
488.00	0.010927
489.00	0.011062
490.00	0.011881
491.00	0.013219
492.00	0.014175
493.00	0.014428
494.00	0.016051
495.00	0.018094
496.00	0.018945
497.00	0.019739
498.00	0.020677
499.00	0.021993
500.00	0.022864
501.00	0.023556
502.00	0.023112
503.00	0.023094
504.00	0.022638
505.00	0.022309
506.00	0.021473
507.00	0.021205
508.00	0.020315
509.00	0.020021
510.00	0.019063
511.00	0.018396
512.00	0.017235
513.00	0.016113
514.00	0.015832
515.00	0.015496
516.00	0.014983
517.00	0.014118
518.00	0.013934
519.00	0.013282
520.00	0.013697
521.00	0.013189
522.00	0.012361
523.00	0.012678
524.00	0.012481
525.00	0.012674
526.00	0.012691
527.00	0.012687
528.00	0.012473
529.00	0.012092
530.00	0.011911
531.00	0.011684
532.00	0.011863
533.00	0.011787
534.00	0.011571
535.00	0.011481
536.00	0.011092
537.00	0.010949
538.00	0.010716
539.00	0.010243
540.00	0.0099754
541.00	0.010205
542.00	0.0098688
543.00	0.010024
544.00	0.0094208
545.00	0.0095461
546.00	0.0095156
547.00	0.0092668
548.00	0.0094399
549.00	0.0098633
550.00	0.010816
551.00	0.011658
552.00	0.012417
553.00	0.014092
554.00	0.016239
555.00	0.018232
556.00	0.019509
557.00	0.021863
558.00	0.023281
559.00	0.024697
560.00	0.026284
561.00	0.027901
562.00	0.029144
563.00	0.029853
564.00	0.030251
565.00	0.030910
566.00	0.030594
567.00	0.029978
568.00	0.029684
569.00	0.029374
570.00	0.029485
571.00	0.029535
572.00	0.029421
573.00	0.028876
574.00	0.027749
575.00	0.027078
576.00	0.026128
577.00	0.024810
578.00	0.024225
579.00	0.024236
580.00	0.023955
581.00	0.023532
582.00	0.023117
583.00	0.022965
584.00	0.021885
585.00	0.020023
586.00	0.019520
587.00	0.018691
588.00	0.018051
589.00	0.018688
590.00	0.019619
591.00	0.021078
592.00	0.023440
593.00	0.025840
594.00	0.028819
595.00	0.032204
596.00	0.035682
597.00	0.040509
598.00	0.046532
599.00	0.054901
600.00	0.066977
601.00	0.083872
602.00	0.10682
603.00	0.13701
604.00	0.16856
605.00	0.20490
606.00	0.23753
607.00	0.26047
608.00	0.27217
609.00	0.26946
610.00	0.25332
611.00	0.22832
612.00	0.19780
613.00	0.16438
614.00	0.13357
615.00	0.10712
616.00	0.085600
617.00	0.067339
618.00	0.053462
619.00	0.042879
620.00	0.033804
621.00	0.027987
622.00	0.021584
623.00	0.017497
624.00	0.014201
625.00	0.011498
626.00	0.0095388
627.00	0.0076357
628.00	0.0064125
629.00	0.0050416
630.00	0.0042882
631.00	0.0040339
632.00	0.0033800
633.00	0.0030418
634.00	0.0029502
635.00	0.0029616
636.00	0.0028832
637.00	0.0029096
638.00	0.0029602
639.00	0.0026467
640.00	0.0023691
641.00	0.0031042
642.00	0.0025377
643.00	0.0021435
644.00	0.0025532
645.00	0.0023946
646.00	0.0017689
647.00	0.0016910
648.00	0.0015780
649.00	0.0012074
650.00	0.0019483
651.00	0.0019976
652.00	0.0013788
653.00	0.0010475
654.00	0.0017566
655.00	0.00099369
656.00	0.0014579
657.00	0.0014080
658.00	0.0013288
659.00	0.0013287
660.00	0.0013824
661.00	0.0014572
662.00	0.0018236
663.00	0.0013961
664.00	0.0019084
665.00	0.0014850
666.00	0.0011117
667.00	0.0012986
668.00	0.0010133
669.00	0.0013323
670.00	0.0014330
671.00	0.0012886
672.00	0.00099096
673.00	0.0010488
674.00	0.0012179
675.00	0.0013291
676.00	0.00076810
677.00	0.0010406
678.00	0.00077129
679.00	0.00090802
680.00	0.00086791
681.00	0.00073802
682.00	0.00073939
683.00	0.00086518
684.00	0.00066100
685.00	0.00076446
686.00	0.00068425
687.00	0.0011208
688.00	0.00095040
689.00	0.00093263
690.00	0.00061452
691.00	0.00058125
692.00	0.0010270
693.00	0.0011382
694.00	0.00086199
695.00	0.0012348
696.00	0.00070156
697.00	0.00054844
698.00	0.00074896
699.00	0.00090209
700.00	0.00064414
