Wavelength (nm)	258 FbOP-T5M10Br20 abs	C	D	E	F	G	H	I	J
471.00	0.034643								
472.00	0.034142								
473.00	0.032651								
474.00	0.031970								
475.00	0.032676								
476.00	0.032821								
477.00	0.032757								
478.00	0.032269								
479.00	0.032502								
480.00	0.033062								
481.00	0.032881								
482.00	0.033540								
483.00	0.033833								
484.00	0.032571								
485.00	0.033642								
486.00	0.033896								
487.00	0.033881								
488.00	0.036222								
489.00	0.036802								
490.00	0.036794								
491.00	0.037464								
492.00	0.039358								
493.00	0.040415								
494.00	0.040799								
495.00	0.041824								
496.00	0.044115								
497.00	0.042930								
498.00	0.045612								
499.00	0.044706								
500.00	0.045721								
501.00	0.045745								
502.00	0.046104								
503.00	0.046385								
504.00	0.045812								
505.00	0.047021								
506.00	0.047140								
507.00	0.046963								
508.00	0.048734								
509.00	0.047397								
510.00	0.048381								
511.00	0.049127								
512.00	0.049239								
513.00	0.050324								
514.00	0.051302								
515.00	0.053381								
516.00	0.054507								
517.00	0.054598								
518.00	0.056871								
519.00	0.058453								
520.00	0.059684								
521.00	0.062232								
522.00	0.063699								
523.00	0.066261								
524.00	0.067338								
525.00	0.068945								
526.00	0.071706								
527.00	0.072868								
528.00	0.076393								
529.00	0.077652								
530.00	0.080380								
531.00	0.082366								
532.00	0.084107								
533.00	0.086362								
534.00	0.087242								
535.00	0.088699								
536.00	0.088871								
537.00	0.091736								
538.00	0.092258								
539.00	0.092451								
540.00	0.093756								
541.00	0.093808								
542.00	0.094147								
543.00	0.093568								
544.00	0.092297								
545.00	0.090108								
546.00	0.089064								
547.00	0.086844								
548.00	0.083953								
549.00	0.082182								
550.00	0.081149								
551.00	0.080894								
552.00	0.079765								
553.00	0.080427								
554.00	0.081508								
555.00	0.084601								
556.00	0.087007								
557.00	0.090669								
558.00	0.094597								
559.00	0.099232								
560.00	0.10418								
561.00	0.10783								
562.00	0.11268								
563.00	0.11841								
564.00	0.12310								
565.00	0.12755								
566.00	0.13233								
567.00	0.13722								
568.00	0.14156								
569.00	0.14722								
570.00	0.15180								
571.00	0.15761								
572.00	0.16158								
573.00	0.16717								
574.00	0.17041								
575.00	0.16973								
576.00	0.17047								
577.00	0.16847								
578.00	0.15998								
579.00	0.15440								
580.00	0.14517								
581.00	0.13660								
582.00	0.12181								
583.00	0.11281								
584.00	0.10395								
585.00	0.091108								
586.00	0.081113								
587.00	0.073593								
588.00	0.064337								
589.00	0.057516								
590.00	0.052279								
591.00	0.047568								
592.00	0.044843								
593.00	0.040988								
594.00	0.037639								
595.00	0.037018								
596.00	0.035257								
597.00	0.036816								
598.00	0.038357								
599.00	0.037483								
600.00	0.039531								
601.00	0.040518								
602.00	0.043241								
603.00	0.046943								
604.00	0.048671								
605.00	0.054282								
606.00	0.058299								
607.00	0.061888								
608.00	0.065739								
609.00	0.069039								
610.00	0.072466								
611.00	0.074448								
612.00	0.076131								
613.00	0.078916								
614.00	0.080099								
615.00	0.081015								
616.00	0.080842								
617.00	0.080779								
618.00	0.078998								
619.00	0.077613								
620.00	0.075479								
621.00	0.071596								
622.00	0.068485								
623.00	0.063430								
624.00	0.057872								
625.00	0.052886								
626.00	0.048179								
627.00	0.045437								
628.00	0.041554								
629.00	0.040317								
630.00	0.037511								
631.00	0.035716								
632.00	0.033760								
633.00	0.031344								
634.00	0.029777								
635.00	0.028282								
636.00	0.027063								
637.00	0.025491								
638.00	0.024840								
639.00	0.024116								
640.00	0.024030								
641.00	0.024070								
642.00	0.024228								
643.00	0.026227								
644.00	0.027219								
645.00	0.029634								
646.00	0.031374								
647.00	0.033287								
648.00	0.035860								
649.00	0.038812								
650.00	0.041495								
651.00	0.047558								
652.00	0.053208								
653.00	0.061115								
654.00	0.065290								
655.00	0.071560								
656.00	0.081629								
657.00	0.092694								
658.00	0.12216								
659.00	0.13822								
660.00	0.14974								
661.00	0.15938								
662.00	0.16865								
663.00	0.17955								
664.00	0.19602								
665.00	0.22134								
666.00	0.25732								
667.00	0.30211								
668.00	0.34811								
669.00	0.38689								
670.00	0.40721								
671.00	0.40661								
672.00	0.38386								
673.00	0.34411								
674.00	0.29380								
675.00	0.24232								
676.00	0.19551								
677.00	0.15509								
678.00	0.12201								
679.00	0.096308								
680.00	0.076356								
681.00	0.061394								
682.00	0.049632								
683.00	0.040523								
684.00	0.033612								
685.00	0.027825								
686.00	0.022768								
687.00	0.019687								
688.00	0.016691								
689.00	0.014564								
690.00	0.012974								
691.00	0.011656								
692.00	0.010025								
693.00	0.0095403								
694.00	0.0077445								
695.00	0.0077710								
696.00	0.0070608								
697.00	0.0068503								
698.00	0.0056405								
699.00	0.0057030								
700.00	0.0050089								
701.00	0.0049520								
702.00	0.0045941								
703.00	0.0042379								
704.00	0.0038712								
705.00	0.0035253								
706.00	0.0037455								
707.00	0.0033908								
708.00	0.0027167								
709.00	0.0030666								
710.00	0.0028768								
711.00	0.0028496								
712.00	0.0026767								
713.00	0.0028144								
714.00	0.0023820								
715.00	0.0027063								
716.00	0.0023820								
717.00	0.0026142								
718.00	0.0029000								
719.00	0.0027247								
720.00	0.0021619								
721.00	0.0022884								
722.00	0.0022003								
723.00	0.0023148								
724.00	0.0023933								
725.00	0.0023180								
726.00	0.0017496								
727.00	0.0015558								
728.00	0.0021843								
729.00	0.0019377								
730.00	0.0021923								
731.00	0.0023572								
732.00	0.0013028								
733.00	0.0015990								
734.00	0.0021162								
735.00	0.00095775								
736.00	0.0016647								
737.00	0.0015574								
738.00	0.0014301								
739.00	0.0019561								
740.00	0.00092252								
741.00	0.00072717								
742.00	0.0010338								
743.00	0.00095135								
744.00	0.0011075								
745.00	0.0011987								
746.00	0.0011811								
747.00	0.0011675								
748.00	0.00080563								
749.00	0.0015126								
750.00	0.0015838								
