Wavelength (nm)	368 ZnC12-PEG6 (SE496).abs
503.00	0.020710
504.00	0.021400
505.00	0.022250
506.00	0.023060
507.00	0.023800
508.00	0.024610
509.00	0.025250
510.00	0.025820
511.00	0.026290
512.00	0.026540
513.00	0.026730
514.00	0.026880
515.00	0.027090
516.00	0.027000
517.00	0.027080
518.00	0.026960
519.00	0.026690
520.00	0.026500
521.00	0.026270
522.00	0.026120
523.00	0.025940
524.00	0.025690
525.00	0.025440
526.00	0.025180
527.00	0.025010
528.00	0.024940
529.00	0.024960
530.00	0.024880
531.00	0.025020
532.00	0.025030
533.00	0.025210
534.00	0.025320
535.00	0.025620
536.00	0.025820
537.00	0.025960
538.00	0.026280
539.00	0.026430
540.00	0.026720
541.00	0.026850
542.00	0.027090
543.00	0.027140
544.00	0.027210
545.00	0.027170
546.00	0.027160
547.00	0.027250
548.00	0.027310
549.00	0.027340
550.00	0.027490
551.00	0.027640
552.00	0.027820
553.00	0.028050
554.00	0.028320
555.00	0.028660
556.00	0.029070
557.00	0.029490
558.00	0.029920
559.00	0.030330
560.00	0.030860
561.00	0.031440
562.00	0.031950
563.00	0.032470
564.00	0.032840
565.00	0.033280
566.00	0.033510
567.00	0.033820
568.00	0.034060
569.00	0.034270
570.00	0.034440
571.00	0.034680
572.00	0.035000
573.00	0.035370
574.00	0.035790
575.00	0.036240
576.00	0.036690
577.00	0.037180
578.00	0.037470
579.00	0.037720
580.00	0.037800
581.00	0.037660
582.00	0.037290
583.00	0.036730
584.00	0.036140
585.00	0.035510
586.00	0.034850
587.00	0.034190
588.00	0.033700
589.00	0.033360
590.00	0.033260
591.00	0.033530
592.00	0.034060
593.00	0.034930
594.00	0.036350
595.00	0.038240
596.00	0.040650
597.00	0.043800
598.00	0.047780
599.00	0.052200
600.00	0.057460
601.00	0.063500
602.00	0.070380
603.00	0.078040
604.00	0.086100
605.00	0.095040
606.00	0.10412
607.00	0.11327
608.00	0.12189
609.00	0.12984
610.00	0.13660
611.00	0.14169
612.00	0.14489
613.00	0.14598
614.00	0.14472
615.00	0.14132
616.00	0.13584
617.00	0.12854
618.00	0.11992
619.00	0.11010
620.00	0.099950
621.00	0.089810
622.00	0.079290
623.00	0.069710
624.00	0.060710
625.00	0.052530
626.00	0.045170
627.00	0.038750
628.00	0.033240
629.00	0.028430
630.00	0.024430
631.00	0.021050
632.00	0.018140
633.00	0.015790
634.00	0.014000
635.00	0.012460
636.00	0.011100
637.00	0.0099600
638.00	0.0090500
639.00	0.0083100
640.00	0.0076900
641.00	0.0072700
642.00	0.0068300
643.00	0.0063900
644.00	0.0060000
645.00	0.0056600
646.00	0.0054300
647.00	0.0052000
648.00	0.0050200
649.00	0.0048500
650.00	0.0046800
651.00	0.0044600
652.00	0.0044200
653.00	0.0042800
654.00	0.0041300
655.00	0.0042900
656.00	0.0036000
657.00	0.0037400
658.00	0.0036600
659.00	0.0038100
660.00	0.0037600
661.00	0.0036500
662.00	0.0035900
663.00	0.0035900
664.00	0.0035300
665.00	0.0035100
666.00	0.0033700
667.00	0.0033400
668.00	0.0033500
669.00	0.0033700
670.00	0.0033400
671.00	0.0032700
672.00	0.0032300
673.00	0.0032800
674.00	0.0032200
675.00	0.0031500
676.00	0.0031200
677.00	0.0030900
678.00	0.0030500
679.00	0.0030200
680.00	0.0030100
681.00	0.0029600
682.00	0.0028800
683.00	0.0029000
684.00	0.0029000
685.00	0.0028600
686.00	0.0027600
687.00	0.0027200
688.00	0.0026900
689.00	0.0026700
690.00	0.0026300
691.00	0.0026000
692.00	0.0025200
693.00	0.0025100
694.00	0.0024700
695.00	0.0024300
696.00	0.0024000
697.00	0.0023600
698.00	0.0022800
699.00	0.0022800
700.00	0.0022700
