Wavelength (nm)	L214 ZnC-P15 (SE252).ems
590.40	0.012752
590.60	0.014158
590.80	0.014576
591.00	0.014885
591.20	0.017168
591.40	0.015733
591.60	0.017099
591.80	0.019751
592.00	0.020379
592.20	0.021665
592.40	0.021585
592.60	0.021825
592.80	0.023240
593.00	0.025464
593.20	0.024806
593.40	0.026800
593.60	0.026849
593.80	0.030837
594.00	0.029063
594.20	0.031565
594.40	0.031047
594.60	0.035773
594.80	0.035773
595.00	0.039691
595.20	0.039990
595.40	0.041685
595.60	0.045384
595.80	0.047637
596.00	0.049023
596.20	0.052104
596.40	0.054756
596.60	0.058126
596.80	0.064197
597.00	0.069153
597.20	0.071825
597.40	0.072343
597.60	0.082223
597.80	0.085743
598.00	0.089561
598.20	0.093749
598.40	0.10123
598.60	0.10692
598.80	0.11935
599.00	0.13127
599.20	0.13451
599.40	0.14401
599.60	0.15926
599.80	0.16750
600.00	0.17861
600.20	0.19019
600.40	0.20258
600.60	0.21134
600.80	0.23257
601.00	0.24529
601.20	0.26247
601.40	0.28204
601.60	0.29702
601.80	0.31292
602.00	0.33170
602.20	0.35911
602.40	0.37593
602.60	0.39672
602.80	0.42705
603.00	0.43729
603.20	0.46637
603.40	0.49703
603.60	0.51654
603.80	0.54364
604.00	0.56096
604.20	0.58940
604.40	0.60675
604.60	0.64095
604.80	0.65854
605.00	0.67967
605.20	0.71324
605.40	0.73253
605.60	0.75958
605.80	0.78166
606.00	0.80351
606.20	0.81424
606.40	0.84556
606.60	0.86449
606.80	0.87486
607.00	0.89239
607.20	0.91627
607.40	0.92653
607.60	0.94100
607.80	0.95403
608.00	0.96154
608.20	0.98198
608.40	0.97722
608.60	0.98142
608.80	0.98895
609.00	1.0000
609.20	0.99544
609.40	0.99919
609.60	0.99646
609.80	0.99007
610.00	0.98927
610.20	0.98058
610.40	0.97268
610.60	0.96920
610.80	0.95921
611.00	0.94859
611.20	0.93249
611.40	0.91983
611.60	0.91365
611.80	0.89806
612.00	0.88159
612.20	0.86352
612.40	0.84079
612.60	0.82747
612.80	0.82468
613.00	0.79443
613.20	0.78129
613.40	0.76869
613.60	0.74421
613.80	0.72023
614.00	0.71930
614.20	0.69503
614.40	0.67206
614.60	0.64456
614.80	0.62523
615.00	0.62379
615.20	0.58863
615.40	0.57758
615.60	0.56002
615.80	0.55056
616.00	0.52237
616.20	0.51004
616.40	0.49079
616.60	0.47844
616.80	0.45442
617.00	0.43775
617.20	0.44217
617.40	0.41888
617.60	0.40882
617.80	0.39410
618.00	0.37290
618.20	0.36895
618.40	0.34887
618.60	0.34077
618.80	0.33230
619.00	0.32706
619.20	0.30857
619.40	0.30300
619.60	0.28906
619.80	0.27848
620.00	0.27281
620.20	0.26224
620.40	0.25217
620.60	0.25032
620.80	0.23792
621.00	0.23373
621.20	0.22773
621.40	0.22343
621.60	0.21132
621.80	0.21179
622.00	0.20181
622.20	0.19666
622.40	0.19386
622.60	0.18793
622.80	0.18255
623.00	0.17973
623.20	0.17651
623.40	0.16831
623.60	0.16456
623.80	0.15862
624.00	0.15395
624.20	0.15015
624.40	0.14994
624.60	0.13824
624.80	0.14148
625.00	0.13760
625.20	0.13490
625.40	0.13066
625.60	0.12713
625.80	0.12554
626.00	0.12253
626.20	0.11814
626.40	0.11343
626.60	0.11021
626.80	0.11245
627.00	0.10418
627.20	0.10528
627.40	0.10284
627.60	0.099801
627.80	0.097916
628.00	0.10096
628.20	0.097966
628.40	0.094397
628.60	0.088345
628.80	0.091655
629.00	0.089651
629.20	0.088774
629.40	0.088255
629.60	0.087577
629.80	0.086630
630.00	0.084995
630.20	0.083649
630.40	0.087448
630.60	0.081884
630.80	0.082891
631.00	0.085842
631.20	0.083779
631.40	0.082662
631.60	0.085015
631.80	0.082423
632.00	0.082134
632.20	0.082812
632.40	0.083071
632.60	0.081894
632.80	0.086550
633.00	0.086361
633.20	0.084955
633.40	0.082562
633.60	0.087268
633.80	0.086560
634.00	0.090419
634.20	0.091017
634.40	0.091625
634.60	0.088943
634.80	0.090389
635.00	0.092991
635.20	0.091376
635.40	0.090588
635.60	0.093509
635.80	0.088235
636.00	0.096451
636.20	0.093320
636.40	0.094078
636.60	0.096112
636.80	0.095793
637.00	0.096321
637.20	0.096471
637.40	0.097567
637.60	0.10257
637.80	0.096481
638.00	0.096241
638.20	0.10042
638.40	0.10282
638.60	0.10330
638.80	0.098385
639.00	0.099472
639.20	0.098205
639.40	0.10134
639.60	0.10337
639.80	0.10114
640.00	0.10611
640.20	0.10197
640.40	0.10404
640.60	0.10421
640.80	0.10029
641.00	0.10427
641.20	0.098873
641.40	0.10009
641.60	0.10349
641.80	0.10574
642.00	0.10000
642.20	0.10580
642.40	0.10777
642.60	0.11264
642.80	0.10397
643.00	0.10383
643.20	0.10590
643.40	0.10733
643.60	0.10898
643.80	0.10306
644.00	0.10631
644.20	0.10500
644.40	0.10591
644.60	0.10821
644.80	0.11154
645.00	0.11159
645.20	0.11076
645.40	0.11557
645.60	0.11271
645.80	0.11390
646.00	0.11021
646.20	0.11557
646.40	0.11285
646.60	0.11300
646.80	0.12037
647.00	0.11877
647.20	0.11588
647.40	0.12032
647.60	0.12184
647.80	0.11921
648.00	0.11642
648.20	0.11721
648.40	0.11721
648.60	0.11704
648.80	0.12059
649.00	0.11843
649.20	0.12176
649.40	0.12101
649.60	0.11809
649.80	0.12162
650.00	0.12053
650.20	0.12457
650.40	0.12232
650.60	0.12469
650.80	0.12423
651.00	0.12172
651.20	0.12344
651.40	0.12013
651.60	0.11940
651.80	0.12275
652.00	0.11816
652.20	0.12169
652.40	0.11822
652.60	0.12277
652.80	0.12357
653.00	0.12226
653.20	0.12270
653.40	0.11804
653.60	0.12437
653.80	0.12338
654.00	0.12098
654.20	0.12302
654.40	0.12232
654.60	0.12171
654.80	0.12229
655.00	0.12492
655.20	0.12572
655.40	0.12630
655.60	0.12303
655.80	0.12182
656.00	0.12334
656.20	0.12260
656.40	0.12729
656.60	0.12507
656.80	0.12255
657.00	0.12572
657.20	0.12474
657.40	0.12853
657.60	0.12471
657.80	0.12649
658.00	0.12782
658.20	0.12828
658.40	0.12913
658.60	0.12835
658.80	0.12804
659.00	0.12861
659.20	0.12682
659.40	0.12963
659.60	0.12748
659.80	0.12475
660.00	0.12804
660.20	0.12969
660.40	0.12798
660.60	0.13006
660.80	0.12889
661.00	0.12791
661.20	0.12592
661.40	0.12805
661.60	0.12208
661.80	0.12268
662.00	0.12519
662.20	0.12431
662.40	0.12566
662.60	0.12350
662.80	0.12292
663.00	0.12735
663.20	0.12830
663.40	0.12607
663.60	0.12021
663.80	0.12288
664.00	0.12445
664.20	0.12296
664.40	0.11939
664.60	0.12006
664.80	0.12027
665.00	0.11961
665.20	0.11804
665.40	0.12271
665.60	0.11697
665.80	0.11877
666.00	0.11880
666.20	0.12000
666.40	0.11935
666.60	0.11392
666.80	0.11438
667.00	0.11985
667.20	0.11154
667.40	0.11515
667.60	0.11579
667.80	0.11647
668.00	0.11540
668.20	0.11411
668.40	0.11277
668.60	0.10917
668.80	0.11319
669.00	0.11499
669.20	0.11100
669.40	0.11116
669.60	0.11019
669.80	0.11302
670.00	0.11215
670.20	0.10698
670.40	0.10291
670.60	0.10922
670.80	0.10983
671.00	0.10895
671.20	0.10772
671.40	0.10704
671.60	0.11191
671.80	0.10366
672.00	0.10403
672.20	0.10153
672.40	0.10134
672.60	0.10357
672.80	0.098275
673.00	0.10295
673.20	0.10094
673.40	0.10398
673.60	0.099980
673.80	0.099422
674.00	0.10027
674.20	0.095184
674.40	0.097408
674.60	0.097448
674.80	0.089442
675.00	0.094915
675.20	0.087527
675.40	0.090429
675.60	0.089103
675.80	0.089123
676.00	0.088235
676.20	0.086301
676.40	0.080857
676.60	0.090917
676.80	0.076431
677.00	0.079571
677.20	0.079163
677.40	0.077368
677.60	0.071954
677.80	0.076700
678.00	0.077817
678.20	0.069920
678.40	0.072203
678.60	0.073838
678.80	0.069611
679.00	0.065753
679.20	0.063500
679.40	0.060508
679.60	0.063011
679.80	0.062054
680.00	0.059890
680.20	0.060219
680.40	0.056211
680.60	0.054197
680.80	0.054786
681.00	0.053799
681.20	0.052752
681.40	0.052552
681.60	0.051226
681.80	0.050828
682.00	0.049900
682.20	0.046122
682.40	0.045533
682.60	0.045314
682.80	0.044975
683.00	0.042164
683.20	0.041525
683.40	0.043679
683.60	0.042343
683.80	0.043061
684.00	0.038594
684.20	0.042034
684.40	0.038784
684.60	0.036261
684.80	0.034197
685.00	0.036839
685.20	0.038275
685.40	0.036162
685.60	0.034925
685.80	0.030937
686.00	0.032243
686.20	0.031296
686.40	0.030668
686.60	0.032144
686.80	0.028475
687.00	0.028534
687.20	0.027378
687.40	0.029900
687.60	0.027747
687.80	0.029442
688.00	0.026461
688.20	0.027408
688.40	0.029143
688.60	0.026660
688.80	0.027717
689.00	0.026201
689.20	0.026271
689.40	0.025274
689.60	0.023141
689.80	0.024327
690.00	0.026261
690.20	0.023649
690.40	0.023400
690.60	0.025145
690.80	0.022164
691.00	0.025573
691.20	0.023081
691.40	0.022393
691.60	0.020728
691.80	0.023589
692.00	0.021306
692.20	0.022463
692.40	0.023061
692.60	0.020548
692.80	0.021735
693.00	0.021775
693.20	0.021157
693.40	0.022532
693.60	0.020259
693.80	0.021246
694.00	0.020837
694.20	0.020628
694.40	0.021555
694.60	0.018405
694.80	0.020429
695.00	0.018694
695.20	0.020189
695.40	0.021515
695.60	0.018654
695.80	0.018903
696.00	0.019192
696.20	0.020130
696.40	0.020499
696.60	0.019701
696.80	0.021047
697.00	0.017886
697.20	0.017298
697.40	0.019821
697.60	0.018355
697.80	0.016520
698.00	0.021276
698.20	0.016670
698.40	0.017298
698.60	0.018445
698.80	0.018076
699.00	0.017777
699.20	0.019352
699.40	0.016989
699.60	0.019133
699.80	0.017667
700.00	0.016680
700.20	0.017777
700.40	0.018305
700.60	0.018225
700.80	0.019033
701.00	0.017926
701.20	0.016311
701.40	0.016570
701.60	0.015254
701.80	0.016869
702.00	0.017677
702.20	0.015115
702.40	0.017328
702.60	0.016461
702.80	0.015673
703.00	0.016969
703.20	0.015823
703.40	0.013649
703.60	0.016042
703.80	0.017747
704.00	0.017308
704.20	0.017019
704.40	0.017697
704.60	0.016132
704.80	0.017049
705.00	0.017727
705.20	0.014257
705.40	0.014526
705.60	0.014676
705.80	0.017268
706.00	0.016401
706.20	0.014965
706.40	0.014915
706.60	0.014447
706.80	0.014726
707.00	0.016241
707.20	0.016391
707.40	0.016052
707.60	0.013380
707.80	0.012742
708.00	0.019113
708.20	0.017099
708.40	0.018016
708.60	0.016869
708.80	0.016191
709.00	0.016261
709.20	0.017946
709.40	0.014546
709.60	0.018913
709.80	0.015234
710.00	0.016082
710.20	0.017697
710.40	0.014207
710.60	0.014018
710.80	0.013519
711.00	0.016491
711.20	0.015613
711.40	0.016989
711.60	0.015753
711.80	0.015912
712.00	0.017348
712.20	0.017468
712.40	0.017019
712.60	0.015503
712.80	0.016331
713.00	0.017298
713.20	0.015334
713.40	0.016650
713.60	0.016859
713.80	0.015194
714.00	0.015404
714.20	0.016381
714.40	0.017667
714.60	0.015404
714.80	0.018235
715.00	0.015055
715.20	0.017218
715.40	0.014197
715.60	0.014955
715.80	0.014706
716.00	0.014048
716.20	0.015912
716.40	0.013918
716.60	0.013938
716.80	0.013829
717.00	0.012602
717.20	0.015733
717.40	0.012921
717.60	0.014905
717.80	0.015214
718.00	0.017687
718.20	0.015414
718.40	0.013420
718.60	0.013200
718.80	0.015314
719.00	0.014008
719.20	0.013131
719.40	0.012243
719.60	0.013848
719.80	0.013200
720.00	0.012692
720.20	0.013390
720.40	0.016311
720.60	0.014018
720.80	0.014237
721.00	0.014556
721.20	0.015603
721.40	0.013290
721.60	0.015364
721.80	0.013230
722.00	0.014536
722.20	0.013031
722.40	0.014686
722.60	0.013031
722.80	0.015942
723.00	0.012742
723.20	0.014158
723.40	0.011934
723.60	0.014816
723.80	0.013340
724.00	0.014826
724.20	0.012682
724.40	0.014427
724.60	0.013141
724.80	0.012652
725.00	0.014367
725.20	0.013061
725.40	0.011805
725.60	0.012602
725.80	0.014686
726.00	0.015274
726.20	0.014686
726.40	0.013210
726.60	0.011416
726.80	0.011904
727.00	0.011296
727.20	0.010538
727.40	0.012542
727.60	0.013669
727.80	0.011276
728.00	0.0094417
728.20	0.011515
728.40	0.012014
728.60	0.011984
728.80	0.011954
729.00	0.011755
729.20	0.0099003
729.40	0.012921
729.60	0.012463
729.80	0.012483
730.00	0.011964
730.20	0.012193
730.40	0.012762
730.60	0.011914
730.80	0.010678
731.00	0.012004
731.20	0.013500
731.40	0.011545
731.60	0.011127
731.80	0.012353
732.00	0.013539
732.20	0.012891
732.40	0.011306
732.60	0.010608
732.80	0.0093420
733.00	0.011037
733.20	0.011446
733.40	0.011745
733.60	0.011595
733.80	0.010319
734.00	0.010788
734.20	0.0092223
734.40	0.012642
734.60	0.012154
734.80	0.010628
735.00	0.011854
735.20	0.0094118
735.40	0.012124
735.60	0.010987
735.80	0.011007
736.00	0.0094118
736.20	0.0090728
736.40	0.010828
736.60	0.011027
736.80	0.0095214
737.00	0.012812
737.20	0.0084447
737.40	0.0093320
737.60	0.010698
737.80	0.010179
738.00	0.0091326
738.20	0.0083749
738.40	0.011645
738.60	0.0098804
738.80	0.0086441
739.00	0.0095513
739.20	0.010160
739.40	0.0082552
739.60	0.0092822
739.80	0.0097807
740.00	0.0091924
740.20	0.0092622
740.40	0.0078265
740.60	0.0095813
740.80	0.0086839
741.00	0.0092423
741.20	0.0095015
741.40	0.0096311
741.60	0.0093420
741.80	0.0094716
742.00	0.0071585
742.20	0.0088235
742.40	0.0068694
742.60	0.0074975
742.80	0.0070788
743.00	0.0087637
743.20	0.0080259
743.40	0.0062911
743.60	0.011366
743.80	0.0083848
744.00	0.0083948
744.20	0.0097308
744.40	0.0091825
744.60	0.0088136
744.80	0.0072383
745.00	0.0074477
745.20	0.0094317
745.40	0.0076570
745.60	0.0076072
745.80	0.0089631
746.00	0.0080758
746.20	0.0088036
746.40	0.011017
746.60	0.0077268
746.80	0.0083250
747.00	0.0070987
747.20	0.0078265
747.40	0.0077767
747.60	0.0084447
747.80	0.0076670
748.00	0.0070788
748.20	0.0059621
748.40	0.0088833
748.60	0.0087039
748.80	0.0080459
749.00	0.0060618
749.20	0.0047258
749.40	0.0061416
749.60	0.0071486
749.80	0.0069591
750.00	0.0068993
750.20	0.0071785
750.40	0.0081356
750.60	0.0069292
750.80	0.0080857
751.00	0.0064008
751.20	0.0072283
751.40	0.0087338
751.60	0.0074477
751.80	0.0070489
752.00	0.0051944
752.20	0.0059621
752.40	0.0038207
752.60	0.0067996
752.80	0.0090329
753.00	0.0054237
753.20	0.0055733
753.40	0.0095613
753.60	0.0069093
753.80	0.0052343
754.00	0.0060120
754.20	0.0072881
754.40	0.0065204
754.60	0.0056132
754.80	0.0078863
755.00	0.0080359
755.20	0.0049850
755.40	0.0053440
755.60	0.0061316
755.80	0.0049252
756.00	0.0058624
756.20	0.0075972
756.40	0.0058724
756.60	0.0047956
756.80	0.0050150
757.00	0.0053838
757.20	0.0057527
757.40	0.0066301
757.60	0.0070090
757.80	0.0047458
758.00	0.0063609
758.20	0.0046062
758.40	0.0043868
758.60	0.0070489
758.80	0.0061017
759.00	0.0041077
759.20	0.0068594
759.40	0.0052243
759.60	0.0078465
759.80	0.0044865
760.00	0.0039660
760.20	0.0053240
760.40	0.0047258
760.60	0.0044965
760.80	0.0025370
761.00	0.0062512
761.20	0.0058824
761.40	0.0039812
761.60	0.0050548
761.80	0.0052841
762.00	0.0046760
762.20	0.0074477
762.40	0.0054536
762.60	0.0065404
762.80	0.0066201
763.00	0.0052343
763.20	0.0034558
763.40	0.0040778
763.60	0.0052443
763.80	0.0062612
764.00	0.0043170
764.20	0.0026787
764.40	0.0069791
764.60	0.0051844
764.80	0.0049551
765.00	0.0035413
765.20	0.0048853
765.40	0.0038585
765.60	0.0053639
765.80	0.0046560
766.00	0.0052841
766.20	0.0055334
766.40	0.0027526
766.60	0.0041874
766.80	0.0051446
767.00	0.0045065
767.20	0.0033910
767.40	0.0044367
767.60	0.0055633
767.80	0.0055633
768.00	0.0043569
768.20	0.0058923
768.40	0.0032335
768.60	0.0047757
768.80	0.0052642
769.00	0.0043769
769.20	0.0040479
769.40	0.0042173
769.60	0.0042971
769.80	0.0047059
770.00	0.0060219
770.20	0.0051246
770.40	0.0057029
770.60	0.0058724
770.80	0.0059621
771.00	0.0049751
771.20	0.0040678
771.40	0.0039029
771.60	0.0037383
771.80	0.0052343
772.00	0.0058225
772.20	0.0049053
772.40	0.0021552
772.60	0.0044167
772.80	0.0042473
773.00	0.0050050
773.20	0.0059322
773.40	0.0035809
773.60	0.0054437
773.80	0.0026529
774.00	0.0049352
774.20	0.0022277
774.40	0.0028211
774.60	0.0042672
774.80	0.0039286
775.00	0.0033326
775.20	0.0045264
775.40	0.0036763
775.60	0.0027336
775.80	0.0038504
776.00	0.0046261
776.20	0.0028185
776.40	0.0043769
776.60	0.0060219
776.80	0.0027312
777.00	0.0029042
777.20	0.0022959
777.40	0.0036872
777.60	0.0058624
777.80	0.0036021
778.00	0.0044766
778.20	0.0065803
778.40	0.0036925
778.60	0.0038692
778.80	0.0048355
779.00	0.0042273
779.20	0.0026383
779.40	0.0036977
779.60	0.0061715
779.80	0.0048554
780.00	0.0036122
780.20	0.0037018
780.40	0.0030800
780.60	0.0037931
780.80	0.0048654
781.00	0.0029910
781.20	0.0044267
781.40	0.0030807
781.60	0.0029013
781.80	0.0023617
782.00	0.0013659
782.20	0.0032614
782.40	0.0026299
782.60	0.0026293
782.80	0.0039871
783.00	0.0040778
783.20	0.0041675
783.40	0.0029910
783.60	0.0028999
783.80	0.0043569
784.00	0.0037220
784.20	0.0028996
784.40	0.0058325
784.60	0.0048255
784.80	0.0048255
785.00	0.0034514
785.20	0.0014257
785.40	0.0068694
785.60	0.0064108
785.80	0.0022501
786.00	0.0038257
786.20	0.0043868
786.40	0.0038282
786.60	0.0049452
786.80	0.0044865
787.00	0.0043968
787.20	0.0051147
787.40	0.0064606
787.60	0.0089033
787.80	0.0055234
788.00	0.0041176
788.20	0.0036501
788.40	0.00082752
788.60	0.0044068
788.80	0.0063908
789.00	0.0060219
789.20	0.0040379
789.40	0.0046062
789.60	0.0028011
789.80	0.0040379
790.00	0.0049950
790.20	0.0012762
790.40	0.0027047
790.60	0.0034688
790.80	0.0029910
791.00	0.0061515
791.20	0.0033746
791.40	0.0051944
791.60	0.0038562
791.80	0.0038573
792.00	0.0024129
792.20	0.0037629
792.40	0.0016351
792.60	0.0026045
792.80	0.0047358
793.00	0.0041476
793.20	0.0036691
793.40	0.0031849
793.60	0.0043470
793.80	0.0051246
794.00	0.0031853
794.20	0.0050349
794.40	0.0022124
794.60	0.0015254
794.80	0.0047458
795.00	0.0034789
795.20	0.0028934
795.40	0.0050449
795.60	0.0039690
795.80	0.0079860
796.00	0.0046560
796.20	0.0032851
796.40	0.0019143
796.60	0.0011266
796.80	0.0014955
797.00	0.0038761
797.20	0.0040778
797.40	0.0032200
797.60	0.0043769
797.80	0.0042941
798.00	0.0042772
798.20	0.0032881
798.40	0.0036848
798.60	0.0031895
798.80	0.0037858
799.00	0.0039856
799.20	0.0042373
799.40	0.0043370
799.60	0.0041874
799.80	0.0036905
800.00	0.0038913
