Wavelength (nm)	311 FbC-T5M10Es15P20 (SE412)
579.00	0.0066394
580.00	0.0070568
581.00	0.0074019
582.00	0.0079278
583.00	0.0081397
584.00	0.0093794
585.00	0.010885
586.00	0.011958
587.00	0.013634
588.00	0.015624
589.00	0.018051
590.00	0.021188
591.00	0.024782
592.00	0.027945
593.00	0.030245
594.00	0.031795
595.00	0.033289
596.00	0.034770
597.00	0.035503
598.00	0.036527
599.00	0.036734
600.00	0.035912
601.00	0.034762
602.00	0.033277
603.00	0.031580
604.00	0.029762
605.00	0.027061
606.00	0.024624
607.00	0.021878
608.00	0.019524
609.00	0.017996
610.00	0.016595
611.00	0.015200
612.00	0.014325
613.00	0.013268
614.00	0.012252
615.00	0.011103
616.00	0.010027
617.00	0.0094270
618.00	0.0089802
619.00	0.0086164
620.00	0.0078390
621.00	0.0075543
622.00	0.0072462
623.00	0.0071616
624.00	0.0073542
625.00	0.0076357
626.00	0.0081744
627.00	0.0081434
628.00	0.0082772
629.00	0.0093055
630.00	0.010660
631.00	0.012144
632.00	0.013992
633.00	0.015965
634.00	0.018371
635.00	0.021341
636.00	0.025483
637.00	0.029714
638.00	0.034609
639.00	0.039138
640.00	0.044494
641.00	0.052091
642.00	0.060828
643.00	0.070994
644.00	0.085170
645.00	0.10463
646.00	0.12724
647.00	0.15559
648.00	0.18646
649.00	0.21469
650.00	0.23469
651.00	0.24636
652.00	0.24398
653.00	0.22813
654.00	0.20476
655.00	0.17861
656.00	0.15248
657.00	0.12347
658.00	0.10240
659.00	0.078296
660.00	0.061606
661.00	0.047526
662.00	0.036672
663.00	0.028632
664.00	0.022899
665.00	0.018784
666.00	0.014711
667.00	0.011969
668.00	0.0089888
669.00	0.0076555
670.00	0.0059433
671.00	0.0048727
672.00	0.0043275
673.00	0.0038674
674.00	0.0029616
675.00	0.0022553
676.00	0.0022344
677.00	0.0021392
678.00	0.0018498
679.00	0.0015614
680.00	0.0015063
681.00	0.00094715
682.00	0.00092575
683.00	0.00064110
684.00	0.00071494
685.00	0.00081499
686.00	0.00090488
687.00	0.00055015
688.00	0.00054159
689.00	0.00049076
690.00	0.00074918
691.00	0.00065769
692.00	0.00056085
693.00	0.00055924
694.00	0.00015796
695.00	0.00012614
696.00	0.00077005
697.00	0.00092896
698.00	0.00098032
699.00	0.00091099
700.00	0.00096159
