Wavelength (nm)	211 CuC (SE204)
448.00	0.013097
449.00	0.013135
450.00	0.013125
451.00	0.013271
452.00	0.013342
453.00	0.013163
454.00	0.013497
455.00	0.013416
456.00	0.013589
457.00	0.013434
458.00	0.013396
459.00	0.013733
460.00	0.014021
461.00	0.014038
462.00	0.014014
463.00	0.013812
464.00	0.013783
465.00	0.013758
466.00	0.013615
467.00	0.014172
468.00	0.013874
469.00	0.014175
470.00	0.014271
471.00	0.014484
472.00	0.015092
473.00	0.015483
474.00	0.015841
475.00	0.016470
476.00	0.016953
477.00	0.018361
478.00	0.019200
479.00	0.020147
480.00	0.020826
481.00	0.022077
482.00	0.023242
483.00	0.024523
484.00	0.026075
485.00	0.027373
486.00	0.028017
487.00	0.029212
488.00	0.030471
489.00	0.031171
490.00	0.030898
491.00	0.031139
492.00	0.031489
493.00	0.030900
494.00	0.030290
495.00	0.029563
496.00	0.028115
497.00	0.027412
498.00	0.026958
499.00	0.025768
500.00	0.024441
501.00	0.023077
502.00	0.021862
503.00	0.021474
504.00	0.020845
505.00	0.020113
506.00	0.019568
507.00	0.018891
508.00	0.018597
509.00	0.018175
510.00	0.017901
511.00	0.017459
512.00	0.017219
513.00	0.017268
514.00	0.017222
515.00	0.016647
516.00	0.016227
517.00	0.016394
518.00	0.016341
519.00	0.015839
520.00	0.015831
521.00	0.015615
522.00	0.015567
523.00	0.015643
524.00	0.015405
525.00	0.015256
526.00	0.015016
527.00	0.014574
528.00	0.014250
529.00	0.014320
530.00	0.014618
531.00	0.014077
532.00	0.013860
533.00	0.014325
534.00	0.014162
535.00	0.014538
536.00	0.014627
537.00	0.014924
538.00	0.015284
539.00	0.016197
540.00	0.017455
541.00	0.018547
542.00	0.019713
543.00	0.021551
544.00	0.023718
545.00	0.025607
546.00	0.027516
547.00	0.029954
548.00	0.032032
549.00	0.033671
550.00	0.035574
551.00	0.036955
552.00	0.038435
553.00	0.039684
554.00	0.040453
555.00	0.041153
556.00	0.041592
557.00	0.041492
558.00	0.041507
559.00	0.041464
560.00	0.041517
561.00	0.040818
562.00	0.040509
563.00	0.040125
564.00	0.040016
565.00	0.040008
566.00	0.039824
567.00	0.040179
568.00	0.040332
569.00	0.040978
570.00	0.041304
571.00	0.041693
572.00	0.041886
573.00	0.042374
574.00	0.042164
575.00	0.042420
576.00	0.042416
577.00	0.042710
578.00	0.043040
579.00	0.044379
580.00	0.045802
581.00	0.048326
582.00	0.050049
583.00	0.053921
584.00	0.059233
585.00	0.064488
586.00	0.071335
587.00	0.081148
588.00	0.092454
589.00	0.10617
590.00	0.12377
591.00	0.14414
592.00	0.16835
593.00	0.19017
594.00	0.21089
595.00	0.23128
596.00	0.24486
597.00	0.25424
598.00	0.25625
599.00	0.25195
600.00	0.24137
601.00	0.22603
602.00	0.20766
603.00	0.18707
604.00	0.16823
605.00	0.14778
606.00	0.12934
607.00	0.11307
608.00	0.098921
609.00	0.085915
610.00	0.075300
611.00	0.066417
612.00	0.059105
613.00	0.052315
614.00	0.046770
615.00	0.042271
616.00	0.038357
617.00	0.034812
618.00	0.031760
619.00	0.029193
620.00	0.026623
621.00	0.024756
622.00	0.022474
623.00	0.021081
624.00	0.019643
625.00	0.018526
626.00	0.017582
627.00	0.015951
628.00	0.014694
629.00	0.013699
630.00	0.012729
631.00	0.012108
632.00	0.011075
633.00	0.010318
634.00	0.0096800
635.00	0.0089298
636.00	0.0084345
637.00	0.0079256
638.00	0.0073082
639.00	0.0068057
640.00	0.0066280
641.00	0.0064010
642.00	0.0062484
643.00	0.0056750
644.00	0.0048996
645.00	0.0045837
646.00	0.0047767
647.00	0.0045353
648.00	0.0043226
649.00	0.0034907
650.00	0.0035544
651.00	0.0042652
652.00	0.0032179
653.00	0.0030277
654.00	0.0028464
655.00	0.0030689
656.00	0.0016977
657.00	0.0030725
658.00	0.0026696
659.00	0.0024273
660.00	0.0020935
661.00	0.0024282
662.00	0.0025861
663.00	0.0011548
664.00	0.0017390
665.00	0.0019598
666.00	0.0025350
667.00	0.0015452
668.00	0.00099775
669.00	0.0011072
670.00	0.0014554
671.00	0.0016618
672.00	0.0014052
673.00	0.0011036
674.00	0.0011530
675.00	0.0011288
676.00	0.0010184
677.00	0.0011790
678.00	0.00081109
679.00	0.00090621
680.00	0.00083263
681.00	0.0011449
682.00	0.00090083
683.00	0.00060379
684.00	0.00061276
685.00	0.00073391
686.00	0.00080301
687.00	0.00082006
688.00	0.00059482
689.00	0.00052841
690.00	0.00086044
691.00	0.00068276
692.00	0.00045392
693.00	0.00047995
694.00	0.00050687
695.00	0.00068994
696.00	0.00060110
697.00	0.00037765
698.00	0.00037226
699.00	0.00034629
700.00	0.00031875
